"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2017,218.820000,8.320000,13.150000,35.360000,63.750000,51.280000,0,13.600000
2018,354.930000,30.700000,42.400000,45.360000,61.370000,59.090000,0,15.190000
2019,129.780000,5.980000,52.980000,54.890000,39.710000,47.400000,0,17.700000
2020,71.870000,23.040000,56.410000,17.880000,60.800000,36.180000,0,21.410000
2021,419.660000,29.550000,-22.470000,41.350000,186.110000,65.420000,0,26.820000
2022,69.010000,-3.040000,19.460000,10.140000,110.090000,101.410000,0,14.290000
2023,340.550000,17.020000,-56.600000,15.530000,123.170000,156.840000,0,17.490000
2024,96.500000,4.640000,125.380000,13.000000,105.730000,249.950000,0,3.530000
2025,-76.040000,13.450000,42.810000,36.760000,138.400000,335.920000,0,5.180000
2026,49.770000,7.130000,19.500000,-3.910000,7.600000,72.080000,0,3.960000
