"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,0.793898,0.889628,-3.551469,0.191907,0.804255,0.035673
2018,-0.940156,-0.103422,3.243040,-0.116247,-1.073749,-0.084647
2019,-1.875134,-1.439141,-2.088983,-0.096219,0.445844,0.006588
2020,-3.708458,0.390360,-0.306409,0.211263,0.171201,-0.044240
2021,0.925013,0.159977,2.011436,-0.180634,-0.366510,-0.030025
2022,-0.497695,-0.645729,-3.276510,-0.177354,0.418863,0.285069
2023,-1.995961,-0.204620,4.114766,0.094543,0.545617,0.235831
2024,-0.673963,0.903140,-4.025669,-0.275942,-1.185743,1.198438
2025,0.288273,-0.189598,-2.590478,0.091899,-0.564306,1.120617
2026,0.032655,0.053710,0.479399,-0.031070,-0.067984,0.104357
