"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,,,,,,,0.205749,
1991,,,,,,,0.043355,
1992,,,,,,,0.033602,
1993,,,,,,,-0.114305,
1994,,,,,,,-0.313025,
1995,,,,,,,-0.308825,
1996,,,,,,,-0.403781,
1997,,,,,,,-0.414295,
1998,,,,,,,-0.139674,
1999,,,,,,,-0.533050,
2000,,,,,,,-0.514506,
2001,,,,,,,-0.490857,
2002,,,,,,,-0.528666,
2003,,,,,,,-0.597221,
2004,,,,,,,-0.788456,
2005,,,,,,,-0.917020,
2006,,,,,,,-0.880312,
2007,,,,,,,-0.774530,
2008,,,,,,,-0.713456,
2009,,,,,,,-0.878059,
2010,,,,,,,-0.625416,
2011,,,,,,,-1.015690,
2012,,,,,,,-0.827279,
2013,,,,,,,-1.073307,
2014,,,,,,,-1.176569,
2015,,,,,,,-0.956416,
2016,,,,,,,-1.043653,
2017,,,,,,,-0.777341,
2018,,,,,,,-0.666665,
2019,,,,,,,-0.508779,
2020,,,,,,,-0.490212,
2021,,,,,,,-0.683679,
2022,,,,,,,-0.542546,
