"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,0,0,0,0,-0.000109,0,0,0
1991,0,0,0,0,-0.000109,0,0,0
1992,0,0,0,0,-0.000111,0,0,0
1993,0,0,0,0,-0.000112,0,0,0
1994,0,0,0,0,-0.000114,0,0,0
1995,0,0,0,0,-0.000114,0,0,0
1996,0,0,0,0,-0.000112,0,0,0
1997,0,0,0,0,-0.000109,0,0,0
1998,0,0,0,0,-0.000105,0,0,0
1999,0,0,0,0,-0.000103,0,0,0
2000,0,0,0,0,-0.000100,0,0,0
2001,0,0,0,0,-0.000098,0,0,0
2002,0,0,0,0,-0.000085,0,0,0
2003,0,0,0,0,-0.000081,0,0,0
2004,0,0,0,0,-0.000023,0,0,0
2005,0,0,0,0,-0.000082,0,0,0
2006,0,0,0,0,-0.000049,0,0,0
2007,0,0,0,0,-0.000088,0,0,0
2008,0,0,0,0,-0.000082,0,0,0
2009,0,0,0,0,-0.000084,0,0,0
2010,0,0,0,0,-0.000080,0,0,0
2011,0,0,0,0,-0.000082,0,0,0
2012,0,0,0,0,-0.000077,0,0,0
2013,0,0,0,0,-0.000072,0,0,0
2014,0,0,0,0,-0.000066,0,0,0
2015,0,0,0,0,0.000042,0,0,0
2016,0,0,0,0,-0.000061,0,0,0
2017,0,0,0,0,-0.000060,0,0,0
2018,0,0,0,0,-0.000064,0,0,0
2019,0,0,0,0,0.000045,0,0,0
2020,0,0,0,0,-0.000065,0,0,0
2021,0,0,0,0,-0.000070,0,0,0
2022,0,0,0,0,-0.000071,0,0,0
2023,0,0,0,0,-0.000077,0,0,0
