"Year","Combined heat and power generation","Road transportation","Residential: Stationary combustion","Manufacturing industries and construction","All other Energy industries","All others"
1990,0.081325,0,2.783424,0.013552,0.071232,0.095760
1991,0.130222,0,2.561328,0.015008,0.115360,0.465360
1992,0.182658,0,2.573424,0.014000,0.053088,0.498400
1993,0.161370,0,2.732464,0.010304,0.051632,0.444640
1994,0.172065,0,2.762928,0.015456,0.027440,0.427728
1995,0.162671,0,2.803024,0.218687,0.024976,0.432208
1996,0.164759,0,2.708832,0.232857,0.029456,0.429408
1997,0.179847,0,2.592800,0.256976,0.027888,0.421680
1998,0.190739,0,2.661680,0.244812,0.016800,0.386176
1999,0.192884,0,2.731904,0.236910,0.009296,0.358848
2000,0.167766,0,5.230997,0.291741,0.011984,0.378560
2001,0.180638,0,6.013380,0.250678,0.012656,0.347080
2002,0.120040,0,3.398536,0.372605,0.027916,0.370059
2003,0.086812,0,5.143943,0.349166,0.172346,0.411408
2004,0.071573,0,4.684108,0.320541,0.944388,0.319817
2005,0.167942,0.007641,4.452112,0.364857,2.162033,0.219422
2006,0.192334,0.032476,4.794160,0.488231,1.660081,0.216325
2007,0.188795,0.085541,5.156592,0.490154,1.942180,0.211348
2008,0.372817,0.489720,4.276496,0.461653,2.479448,0.206654
2009,0.487118,0.502988,6.433504,0.440810,2.749002,0.218765
2010,0.560476,0.520286,7.350448,0.407354,2.773206,0.245528
2011,0.862207,0.474752,8.530032,0.424020,1.671623,0.257657
2012,0.800890,0.457983,9.296112,0.322068,1.382335,0.227653
2013,0.906175,0.406723,9.549456,0.474446,1.555437,0.273745
2014,0.999447,0.560936,7.743456,0.566125,1.916025,0.247048
2015,1.170298,0.520715,8.275232,0.581986,1.828750,0.276574
2016,1.188136,0.556378,8.061312,0.708044,1.604470,0.296419
2017,1.877393,0.488553,7.613312,0.829628,1.023107,0.288105
2018,1.991472,0.574738,6.340880,0.995794,0.977497,0.256589
2019,1.753208,0.601912,5.923344,1.161776,1.048707,0.258570
2020,1.589603,0.830634,5.937008,1.162533,1.069883,0.231846
2021,1.635587,0.848146,6.178144,1.427069,1.164807,0.213230
2022,1.580866,0.905461,5.995472,1.375849,1.181616,0.226832
2023,1.339173,0.930405,5.709088,1.289978,0.746140,0.240171
