"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.073427,1.163720,195344.039610,10381281
1991,0.069825,1.086844,172113.640670,10378176
1992,0.062281,1.042747,166839.768720,10371474
1993,0.062991,1.003829,165878.591270,10356870
1994,0.061880,1.020905,170767.288120,10339937
1995,0.061464,1.032482,173310.910590,10322788
1996,0.063083,1.052095,173453.736550,10302235
1997,0.061676,1.026710,178905.609920,10278602
1998,0.061255,1.042117,185882.929920,10251717
1999,0.061575,1.041616,191591.444630,10219796
2000,0.058244,1.010888,200173.196500,10190600
2001,0.059828,1.035520,208328.435120,10166690
2002,0.058842,1.011284,218205.874300,10138466
2003,0.061611,1.023794,227118.543310,10108963
2004,0.059985,1.040136,238475.488640,10085791
2005,0.060142,1.109078,248718.675130,10065706
2006,0.059529,1.087418,258537.516250,10049943
2007,0.058449,1.073108,259253.615050,10034082
2008,0.057184,1.058027,261862.911770,10016657
2009,0.051458,0.981678,244591.812160,10001378
2010,0.051993,1.000177,247241.030910,9979129
2011,0.050156,0.970070,251840.098500,9946676
2012,0.046720,0.904017,248672.579470,9916623
2013,0.043487,0.856949,253164.512290,9889346
2014,0.043639,0.857768,263857.486050,9862842
2015,0.046567,0.903743,273628.815390,9839211
2016,0.047039,0.919781,279626.649050,9810532
2017,0.049424,0.969456,291562.673700,9785604
2018,0.049366,0.976329,307188.964850,9774394
2019,0.049159,0.989613,321178.544280,9770346
2020,0.047105,0.973178,306843.637490,9749457
2021,0.048326,1.022250,328619.139550,9707850
2022,0.045267,0.961369,340876.635600,9684306
2023,0.040344,0.919129,353284.544800,9686463
2024,0.040017,0.938850,366179.431080,9676135
