"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,3.292317,4.042390,2.767685,2.017612,0.750073
1991,3.288349,3.992132,2.903186,2.199403,0.703783
1992,3.308112,3.803911,2.699707,2.203908,0.495799
1993,3.327515,3.787162,2.742422,2.282776,0.459647
1994,3.379388,3.797172,2.747658,2.329875,0.417784
1995,3.422633,3.824659,2.829048,2.427022,0.402026
1996,3.532730,3.915738,2.903001,2.519993,0.383008
1997,3.555166,3.898871,2.910911,2.567206,0.343705
1998,3.552960,3.907343,2.883660,2.529278,0.354382
1999,3.588807,3.962395,2.977611,2.604023,0.373588
2000,3.679662,4.082964,3.066163,2.662861,0.403302
2001,3.667515,4.091068,3.127208,2.703655,0.423553
2002,3.691812,4.125776,3.254119,2.820154,0.433965
2003,3.757033,4.256302,3.562217,3.062949,0.499269
2004,3.795586,4.323908,3.769041,3.240719,0.528322
2005,3.810736,4.397313,4.009291,3.422714,0.586577
2006,3.795021,4.425925,4.287383,3.656479,0.630904
2007,3.834392,4.444966,4.476381,3.865807,0.610574
2008,3.731241,4.332846,4.724763,4.123158,0.601605
2009,3.496067,3.991891,4.822241,4.326416,0.495825
2010,3.617845,4.143140,5.177618,4.652324,0.525295
2011,3.577795,4.089965,5.518325,5.006156,0.512169
2012,3.534839,4.014380,5.700640,5.221100,0.479540
2013,3.549801,3.968267,5.762367,5.343901,0.418466
2014,3.495321,3.901239,5.878528,5.472609,0.405918
2015,3.462930,3.816909,5.899277,5.545299,0.353978
2016,3.425031,3.780519,5.932596,5.577108,0.355488
2017,3.420839,3.774609,6.076789,5.723018,0.353771
2018,3.439315,3.810330,6.251058,5.880043,0.371015
2019,3.345542,3.725661,6.418626,6.038507,0.380119
2020,3.051987,3.441738,6.268145,5.878394,0.389751
2021,3.222734,3.655139,6.577628,6.145224,0.432405
