"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,12.063049,14.811318,10.140799,7.392530,2.748269
1991,12.048512,14.627173,10.637274,8.058613,2.578661
1992,12.120922,13.937530,9.891727,8.075118,1.816609
1993,12.192015,13.876161,10.048236,8.364090,1.684146
1994,12.382078,13.912838,10.067421,8.536661,1.530760
1995,12.540528,14.013552,10.365632,8.892609,1.473024
1996,12.943922,14.347263,10.636596,9.233255,1.403341
1997,13.026129,14.285464,10.665578,9.406242,1.259336
1998,13.018047,14.316504,10.565730,9.267273,1.298457
1999,13.149389,14.518215,10.909967,9.541142,1.368826
2000,13.482281,14.959979,11.234421,9.756722,1.477698
2001,13.437775,14.989672,11.458088,9.906191,1.551897
2002,13.526798,15.116845,11.923090,10.333043,1.590047
2003,13.765770,15.595091,13.051964,11.222643,1.829321
2004,13.907027,15.842799,13.809765,11.873993,1.935772
2005,13.962537,16.111754,14.690042,12.540824,2.149218
2006,13.904957,16.216590,15.708971,13.397338,2.311633
2007,14.049211,16.286355,16.401461,14.164318,2.237143
2008,13.671267,15.875549,17.311532,15.107250,2.204282
2009,12.809589,14.626290,17.668690,15.851988,1.816702
2010,13.255785,15.180464,18.970794,17.046115,1.924679
2011,13.109043,14.985631,20.219145,18.342556,1.876588
2012,12.951650,14.708687,20.887147,19.130110,1.757036
2013,13.006471,14.539731,21.113313,19.580052,1.533261
2014,12.806855,14.294140,21.538926,20.051641,1.487285
2015,12.688177,13.985153,21.614950,20.317974,1.296976
2016,12.549315,13.851823,21.737032,20.434523,1.302509
2017,12.533952,13.830169,22.265356,20.969140,1.296217
2018,12.601649,13.961048,22.903875,21.544476,1.359399
2019,12.258066,13.650823,23.517847,22.125090,1.392757
2020,11.182480,12.610526,22.966482,21.538436,1.428047
2021,11.808099,13.392429,24.100430,22.516100,1.584330
