"Year","World","RoW","China","USA","India","EU27"
2000,4.147293,3.614389,2.886800,21.282460,0.922514,8.441662
2001,4.120683,3.597263,2.929518,20.694748,0.918440,8.558854
2002,4.158206,3.581093,3.203184,20.621824,0.930212,8.541293
2003,4.324224,3.671831,3.756086,20.645629,0.947866,8.710940
2004,4.419594,3.741040,4.023198,20.795028,0.990171,8.706525
2005,4.512246,3.756773,4.507778,20.658025,1.026879,8.632976
2006,4.608319,3.805123,4.945857,20.192239,1.102451,8.627044
2007,4.683315,3.821732,5.284530,20.248576,1.170476,8.509973
2008,4.704022,3.825995,5.639515,19.349745,1.234271,8.284188
2009,4.565362,3.672811,5.892718,17.765031,1.317558,7.589258
2010,4.767853,3.811919,6.394216,18.252019,1.352022,7.800657
2011,4.868636,3.850789,7.024126,17.669734,1.403215,7.556642
2012,4.878096,3.887792,7.156179,16.876879,1.510960,7.380665
2013,4.859253,3.825740,7.235211,17.158994,1.545232,7.192885
2014,4.832556,3.799049,7.218271,17.168006,1.643411,6.877080
2015,4.775163,3.777308,7.079603,16.562983,1.688923,6.986075
2016,4.719524,3.744957,6.965619,16.053693,1.758998,6.990383
2017,4.740302,3.755897,7.098718,15.804430,1.791917,7.030545
2018,4.785001,3.735754,7.306582,16.191355,1.894121,6.855601
2019,4.770166,3.717113,7.540132,15.739861,1.889137,6.525811
2020,4.464730,3.380418,7.659333,14.034053,1.734155,5.906191
2021,4.654845,3.485992,7.950267,14.932488,1.899894,6.304357
2022,4.658219,3.475064,7.992762,14.949617,1.996682,6.174400
2023,4.666964,3.445852,8.315342,14.421603,2.143840,5.696365
