"Year","China","USA","India","EU27","Russia","Japan"
1890,0,0.401747,0.004432,0.481646,0.016580,0.006756
1891,0,0.427425,0.004772,0.501331,0.018255,0.008123
1892,0,0.450449,0.005247,0.493621,0.019323,0.008075
1893,0,0.454095,0.005543,0.501921,0.022649,0.008574
1894,0,0.425050,0.005617,0.527210,0.023068,0.011025
1895,0,0.479948,0.007035,0.543308,0.026506,0.012227
1896,0,0.480882,0.007608,0.575296,0.026983,0.012916
1897,0,0.500287,0.008253,0.608566,0.031198,0.013542
1898,0,0.545321,0.009125,0.635495,0.034989,0.017246
1899,0,0.625534,0.010054,0.669342,0.040590,0.017272
1900,0,0.662738,0.011930,0.712149,0.045981,0.019412
1901,0,0.721528,0.013180,0.709667,0.047206,0.023274
1902,0,0.764496,0.014515,0.696455,0.045594,0.024945
1903,0,0.894407,0.014802,0.743081,0.044599,0.025787
1904,0,0.882058,0.016561,0.757160,0.049620,0.029052
1905,0,0.986482,0.016931,0.795768,0.044292,0.029931
1906,0,1.035471,0.019549,0.812353,0.050521,0.032855
1907,0.019894,1.203861,0.021772,0.927499,0.056588,0.035072
1908,0.022736,1.052813,0.024908,0.962029,0.056935,0.037633
1909,0.024252,1.165706,0.024143,0.955012,0.060102,0.038256
1910,0.025009,1.271582,0.023487,0.972859,0.058942,0.039384
1911,0.024631,1.258667,0.024782,0.992706,0.061110,0.044210
1912,0.017029,1.343566,0.028521,1.064388,0.069224,0.049281
1913,0.024252,1.442542,0.031467,1.146182,0.075199,0.054315
1914,0.026718,1.317980,0.031698,0.980967,0.067869,0.058016
1915,0.025421,1.367697,0.033142,0.900023,0.062294,0.052842
1916,0.030131,1.518981,0.033518,0.946087,0.066395,0.058598
1917,0.032023,1.670971,0.035020,0.938305,0.061105,0.067484
1918,0.034748,1.747718,0.039359,0.883433,0.024369,0.071543
1919,0.037997,1.479159,0.042975,0.686950,0.020815,0.079194
1920,0.040278,1.738246,0.034868,0.861440,0.018981,0.074280
1921,0.038763,1.423669,0.037506,0.894133,0.020584,0.066809
1922,0.039972,1.435758,0.036903,0.918098,0.025104,0.071430
1923,0.046518,1.896736,0.037972,0.823399,0.027731,0.075907
1924,0.048846,1.698320,0.040628,1.000193,0.033038,0.079348
1925,0.045955,1.758185,0.040085,1.011739,0.032608,0.082011
1926,0.043660,1.906048,0.039943,0.977933,0.047246,0.082605
1927,0.045809,1.862839,0.041884,1.099370,0.058740,0.089482
1928,0.047591,1.830965,0.040073,1.125185,0.065256,0.092391
1929,0.048282,1.963506,0.041708,1.235731,0.070275,0.094880
1930,0.049558,1.744916,0.042399,1.123376,0.095534,0.086166
1931,0.051905,1.484959,0.038851,1.011737,0.114771,0.077904
1932,0.050269,1.257814,0.036129,0.894172,0.129314,0.077981
1933,0.054111,1.348877,0.035467,0.921840,0.144521,0.091342
1934,0.062383,1.436239,0.039611,0.993509,0.174816,0.101203
1935,0.072646,1.492321,0.041393,1.040007,0.197882,0.106382
1936,0.075477,1.713412,0.040684,1.083871,0.226909,0.116849
1937,0.070969,1.792610,0.045067,1.219895,0.232024,0.125431
1938,0.061366,1.515750,0.050380,1.232345,0.244890,0.131735
1939,0.074427,1.670920,0.049312,1.269051,0.247894,0.127747
1940,0.090791,1.874985,0.052310,1.320404,0.297191,0.153244
1941,0.113979,2.043585,0.053581,1.301363,0.261090,0.154605
1942,0.127613,2.198265,0.053530,1.320660,0.141943,0.147792
1943,0.108995,2.272059,0.046644,1.331662,0.148140,0.150637
1944,0.103004,2.444904,0.047696,1.141679,0.214831,0.138733
1945,0.055892,2.359551,0.052874,0.492922,0.227442,0.076635
1946,0.036107,2.257494,0.052225,0.847689,0.255604,0.052707
1947,0.041836,2.485854,0.053180,0.990789,0.307788,0.070032
1948,0.038400,2.582558,0.053204,1.095450,0.327516,0.088082
1949,0.062081,2.164862,0.056188,1.211202,0.372303,0.098420
1950,0.078835,2.541485,0.061103,1.277713,0.414992,0.102541
1951,0.102115,2.618712,0.064022,1.429705,0.449758,0.123458
1952,0.127999,2.551219,0.067426,1.486753,0.481621,0.130406
1953,0.133783,2.612971,0.068705,1.514936,0.509528,0.145770
1954,0.160877,2.489462,0.072414,1.611293,0.556482,0.142534
1955,0.190521,2.728512,0.078788,1.743280,0.630997,0.141875
1956,0.215824,2.859995,0.081656,1.866999,0.691827,0.160636
1957,0.255785,2.835772,0.091635,1.926266,0.757075,0.188067
1958,0.524617,2.747108,0.095816,1.910780,0.808090,0.181161
1959,0.720152,2.831923,0.101447,1.940496,0.849598,0.192620
1960,0.798800,2.897315,0.111325,2.099371,0.884555,0.232500
1961,0.570630,2.886873,0.120404,2.198986,0.912222,0.282787
1962,0.459618,2.993902,0.132582,2.353890,0.957430,0.292864
1963,0.456779,3.126487,0.142444,2.512190,1.026803,0.324835
1964,0.460637,3.264314,0.139488,2.643400,1.092032,0.358891
1965,0.500286,3.399547,0.153702,2.676211,1.158446,0.386471
1966,0.549459,3.571421,0.159373,2.757727,1.223377,0.419245
1967,0.460226,3.705461,0.159556,2.819335,1.279226,0.489307
1968,0.495507,3.840920,0.174069,2.992575,1.315176,0.561913
1969,0.607683,4.035145,0.177413,3.191218,1.369670,0.653215
1970,0.807953,4.339686,0.181723,3.330682,1.440532,0.767963
1971,0.909210,4.365465,0.191964,3.424552,1.528699,0.796544
1972,0.968646,4.573015,0.203036,3.554761,1.608385,0.852170
1973,1.008293,4.785103,0.209095,3.727923,1.676312,0.914265
1974,1.028100,4.621100,0.215853,3.708678,1.740144,0.914306
1975,1.183215,4.478275,0.234209,3.635988,1.829144,0.868511
1976,1.226421,4.747817,0.244749,3.911710,1.899591,0.907145
1977,1.340831,4.889665,0.258962,3.873171,1.964204,0.933238
1978,1.492778,4.941423,0.263150,4.003664,2.031660,0.901590
1979,1.525661,5.008642,0.276285,4.113135,2.048510,0.953071
1980,1.494496,4.808556,0.291711,4.077501,2.129110,0.944869
1981,1.476488,4.686420,0.314966,3.863381,2.088571,0.926835
1982,1.606585,4.447298,0.325380,3.771411,2.127947,0.897408
1983,1.694217,4.429423,0.352199,3.728486,2.158129,0.880909
1984,1.844828,4.662174,0.361559,3.763594,2.177293,0.937070
1985,1.998083,4.652633,0.397592,3.820581,2.348141,0.912401
1986,2.104213,4.663430,0.426309,3.805261,2.348727,0.912260
1987,2.257739,4.825712,0.455343,3.839636,2.358150,0.902530
1988,2.425894,5.050543,0.491692,3.797893,2.436094,0.985464
1989,2.463654,5.132206,0.540651,3.835037,2.404974,1.021682
1990,2.484855,5.120957,0.577996,3.870427,2.536248,1.157196
1991,2.606096,5.062957,0.615365,3.804558,2.406756,1.168897
1992,2.730788,5.174228,0.655447,3.678623,1.966505,1.178675
1993,2.921651,5.272851,0.677299,3.609838,1.866729,1.171687
1994,3.103739,5.364279,0.714064,3.590762,1.647665,1.226702
1995,3.361637,5.425260,0.760462,3.637058,1.619727,1.239048
1996,3.508818,5.612983,0.823621,3.721912,1.586822,1.251546
1997,3.515594,5.688143,0.858011,3.655535,1.482245,1.244251
1998,3.364588,5.733281,0.875772,3.645832,1.465253,1.204403
1999,3.557275,5.803918,0.950460,3.590361,1.494179,1.241036
2000,3.649201,6.010136,0.977526,3.601509,1.479142,1.263755
2001,3.728513,5.907740,0.990970,3.658265,1.515647,1.249162
2002,4.103043,5.946308,1.021664,3.658905,1.506788,1.278787
2003,4.841119,6.010145,1.059160,3.743083,1.537018,1.287293
2004,5.217351,6.112655,1.125096,3.753995,1.543957,1.282686
2005,5.882143,6.132183,1.185674,3.734855,1.562577,1.290145
2006,6.494338,6.052686,1.292485,3.744527,1.623002,1.267118
2007,6.983577,6.130123,1.392506,3.708245,1.623781,1.302837
2008,7.501498,5.915118,1.489438,3.624359,1.652065,1.232014
2009,7.891089,5.480726,1.612216,3.330523,1.545034,1.163057
2010,8.620627,5.679715,1.677337,3.431445,1.632783,1.214708
2011,9.532409,5.546116,1.764712,3.330913,1.685910,1.264631
2012,9.779354,5.344086,1.925700,3.258429,1.701268,1.305884
2013,9.956376,5.480157,1.995098,3.178525,1.640437,1.315192
2014,9.998674,5.528681,2.148344,3.041581,1.639959,1.264072
2015,9.866951,5.376473,2.234220,3.092762,1.638675,1.223169
2016,9.765030,5.252932,2.354658,3.097996,1.634885,1.202455
2017,10.011152,5.212162,2.426607,3.119782,1.666121,1.186802
2018,10.353934,5.377797,2.593058,3.046239,1.712494,1.141669
2019,10.721042,5.262145,2.612888,2.904162,1.705031,1.104540
2020,10.914012,4.714628,2.421552,2.629971,1.632929,1.039796
2021,11.336234,5.032213,2.674222,2.805762,1.711993,1.062129
2022,11.396777,5.057304,2.829644,2.761907,1.652177,1.053798
