"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.163033,3.278645,547710.673520,15030878
1991,0.171469,3.341028,561069.546580,15155090
1992,0.171277,3.380823,570641.823470,15276785
1993,0.171185,3.409078,577818.309570,15389720
1994,0.171952,3.372512,594927.996690,15485449
1995,0.173482,3.509863,613465.824620,15565032
1996,0.182543,3.661598,634929.411520,15640027
1997,0.175466,3.595862,662415.845090,15723622
1998,0.176396,3.621392,693310.371720,15827107
1999,0.171053,3.577597,728211.949410,15940184
2000,0.172154,3.624550,758765.118760,16058760
2001,0.177464,3.764006,776421.242500,16182705
2002,0.176738,3.765820,778108.200560,16288051
2003,0.180169,3.791074,779319.295790,16366912
2004,0.182090,3.919479,794788.359990,16425566.000000
2005,0.178130,4.004071,811088.484180,16465710
2006,0.173279,3.922473,839160.167760,16493852.000000
2007,0.173028,3.987087,870820.359950,16531357
2008,0.175904,3.939800,889719.989370,16597258.000000
2009,0.170433,3.885448,857094.988880,16684150.000000
2010,0.182479,4.214343,868603.542060,16771235
2011,0.169346,4.014331,882077.226620,16851057
2012,0.165752,3.944518,872988.708780,16915194
2013,0.164925,3.826386,871852.293840,16967063
2014,0.157503,3.658791,884262.199340,17030089
2015,0.163958,3.695285,901586.396530,17107433
2016,0.164812,3.758554,921346.588740,17204693
2017,0.162296,3.787567,948166.090790,17315370
2018,0.158264,3.694100,970551.486010,17421280
2019,0.152727,3.677532,989531.479120,17537507
2020,0.136974,3.561635,951942.779280,17636731
2021,0.139886,3.654094,999881.684580,17730564
2022,0.127503,3.434752,1029587.313200,17904421
2023,0.117016,3.383641,1050558.221900,18092524
2024,0.114785,3.335274,1069125.546800,18228742
