"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-5.300551,3.296255,-0.024080,-0.268473,-0.098163,0.171497
1991,-4.787148,2.753894,-0.024375,-0.274290,-0.094595,0.172595
1992,-4.965677,2.943163,-0.086070,-0.280115,-0.091090,0.173676
1993,-4.617327,2.566802,-0.087084,-0.285998,-0.087698,0.174713
1994,-4.575021,2.496065,-0.088121,-0.291895,-0.084428,0.175706
1995,-4.763622,2.655811,-0.089183,-0.297782,-0.081275,0.176738
1996,-4.576839,2.439761,-0.090269,-0.303688,-0.078143,0.177650
1997,-4.912607,2.745842,-0.091378,-0.309612,-0.075337,0.178667
1998,-4.728803,2.531816,-0.092511,-0.315590,-0.072434,0.179605
1999,-4.777462,2.549823,-0.093668,-0.321572,-0.069731,0.180570
2000,-4.775563,2.545778,-0.094461,-0.316737,-0.067171,0.181437
2001,-4.492058,2.260022,-0.095217,-0.311612,-0.064629,0.182351
2002,-4.445302,2.210876,-0.095939,-0.306896,-0.062258,0.183126
2003,-4.749650,2.512416,-0.096636,-0.302658,-0.060057,0.183836
2004,-4.747870,2.500859,-0.097334,-0.299097,-0.057488,0.183638
2005,-4.917985,2.666911,-0.098002,-0.295797,-0.054916,0.183513
2006,-5.063031,2.665091,-0.087316,-0.400999,-0.052500,0.183306
2007,-4.928154,2.514390,-0.087870,-0.402559,-0.050038,0.183172
2008,-5.141740,2.712219,-0.088407,-0.404227,-0.047717,0.183086
2009,-4.962742,2.535831,-0.088887,-0.406260,-0.045583,0.182158
2010,-5.117669,2.674582,-0.089357,-0.408519,-0.045102,0.181283
2011,-4.954060,2.494289,-0.089822,-0.411055,-0.044758,0.180502
2012,-4.928973,2.452270,-0.090278,-0.413871,-0.044430,0.179743
2013,-5.205366,2.720260,-0.089988,-0.403662,-0.041728,0.176918
2014,-4.506283,2.465059,-0.153848,-0.276231,-0.039178,0.174641
2015,-4.405624,2.389476,-0.153644,-0.262206,-0.036691,0.172269
2016,-4.601672,2.610993,-0.153292,-0.248788,-0.034247,0.170052
2017,-4.307292,2.318279,-0.153774,-0.240956,-0.033954,0.169113
2018,-4.205666,2.221832,-0.154182,-0.233342,-0.033688,0.168196
2019,-4.163332,2.184775,-0.154525,-0.226081,-0.033468,0.167328
2020,-4.014937,2.033107,-0.155005,-0.221717,-0.033331,0.166436
2021,-4.033340,2.053984,-0.155253,-0.216652,-0.032283,0.165393
2022,-4.233953,1.997981,-0.112288,-0.227586,-0.031137,0.164287
2023,-4.198344,1.959931,-0.112336,-0.223760,-0.029961,0.163331
2024,-4.093821,1.853043,-0.112361,-0.220140,-0.029347,0.162217
