"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.053725,0,0,0,0.720145
1851,0.054252,0,0,0,0.769572
1852,0.056658,0,0,0,0.779885
1853,0.059290,0,0,0,0.793013
1854,0.069607,0,0,0,0.795535
1855,0.071022,0.000010,0,0,0.785622
1856,0.075929,0.000011,0,0,0.810285
1857,0.076728,0.000014,0,0,0.805427
1858,0.077917,0.000017,0,0,0.811908
1859,0.082565,0.000015,0,0,0.829333
1860,0.090618,0.000075,0,0,0.758965
1861,0.095046,0.000257,0,0,0.755282
1862,0.096777,0.000382,0,0,0.747940
1863,0.103232,0.000353,0,0,0.738842
1864,0.111467,0.000303,0,0,0.714710
1865,0.118322,0.000360,0,0,0.701810
1866,0.122029,0.000533,0,0,0.711825
1867,0.130685,0.000542,0,0,0.701480
1868,0.134335,0.000625,0,0,0.692867
1869,0.142499,0.000714,0,0,0.705483
1870,0.145467,0.000855,0,0,0.773785
1871,0.154611,0.000896,0,0,0.779072
1872,0.171196,0.001009,0,0,0.833108
1873,0.181440,0.001547,0,0,0.813377
1874,0.169874,0.001704,0,0,0.867360
1875,0.184283,0.001593,0,0,0.890400
1876,0.186694,0.001784,0,0,0.896123
1877,0.189741,0.002408,0,0,0.868302
1878,0.190941,0.002740,0,0,0.894355
1879,0.203912,0.003455,0,0,0.892510
1880,0.229992,0.004193,0,0.000000,0.922575
1881,0.237643,0.004706,0,0.000000,0.921693
1882,0.250760,0.005169,0.000045,0.000000,0.970697
1883,0.267640,0.004504,0.000104,0.000000,0.949483
1884,0.270179,0.005001,0.000320,0.000000,0.991335
1885,0.271417,0.005174,0.001014,0.000000,0.991060
1886,0.273776,0.005956,0.002095,0.000000,0.967615
1887,0.286151,0.006409,0.003217,0.000000,1.007490
1888,0.316443,0.006709,0.004578,0.000000,0.973368
1889,0.316835,0.007753,0.003337,0.000000,1.003737
1890,0.343955,0.009457,0.003190,0.000000,1.078148
1891,0.360026,0.011144,0.002442,0.000000,1.135545
1892,0.363490,0.010973,0.002122,0.000000,1.119495
1893,0.358264,0.011612,0.001989,0.000000,1.170495
1894,0.372034,0.011381,0.001828,0.000000,1.174718
1895,0.392920,0.013247,0.001922,0.000000,1.176170
1896,0.405361,0.014348,0.001869,0.000000,1.158467
1897,0.424311,0.015156,0.001989,0.000000,1.202063
1898,0.447688,0.015604,0.002309,0.000000,1.189120
1899,0.489137,0.016384,0.002976,0.000000,1.213868
1900,0.513821,0.018370,0.003150,0.000000,1.229830
1901,0.528480,0.020401,0.003510,0.000000,1.237108
1902,0.540474,0.022054,0.003738,0.000001,1.262887
1903,0.590052,0.023353,0.003965,0.000001,1.254622
1904,0.593457,0.026223,0.004139,0.000001,1.277040
1905,0.633430,0.026479,0.004686,0.000001,1.317343
1906,0.661965,0.026716,0.005193,0.000001,1.320225
1907,0.752993,0.032594,0.005425,0.000001,1.295997
1908,0.719233,0.035151,0.005370,0.000031,1.320642
1909,0.748038,0.036674,0.006420,0.000032,1.349943
1910,0.783794,0.039330,0.006800,0.000037,1.295548
1911,0.793976,0.041711,0.007019,0.000040,1.317347
1912,0.834732,0.042898,0.007728,0.000048,1.278985
1913,0.901291,0.049667,0.008078,0.000055,1.232138
1914,0.810919,0.050770,0.008225,0.000040,1.254477
1915,0.793737,0.053924,0.008697,0.000044,1.247583
1916,0.855756,0.058736,0.010474,0.000049,1.234350
