"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,3.318131,4.041493,2.734668,2.011306,0.723362
1991,3.314781,3.990455,2.864164,2.188490,0.675674
1992,3.331159,3.802262,2.665209,2.194106,0.471103
1993,3.349581,3.785257,2.707933,2.272257,0.435676
1994,3.402795,3.795393,2.712016,2.319418,0.392598
1995,3.443679,3.823427,2.809412,2.429664,0.379748
1996,3.554042,3.914651,2.883190,2.522581,0.360610
1997,3.577813,3.897573,2.889127,2.569368,0.319760
1998,3.576080,3.905022,2.852349,2.523407,0.328942
1999,3.608471,3.961793,2.962624,2.609302,0.353322
2000,3.699169,4.081750,3.048332,2.665751,0.382581
2001,3.687378,4.091160,3.115230,2.711448,0.403782
2002,3.711670,4.126090,3.241382,2.826962,0.414420
2003,3.775971,4.253849,3.548327,3.070449,0.477878
2004,3.813112,4.320392,3.753855,3.246575,0.507281
2005,3.832518,4.395804,3.992683,3.429397,0.563286
2006,3.819823,4.426849,4.268151,3.661126,0.607025
2007,3.855321,4.442519,4.464341,3.877143,0.587197
2008,3.756338,4.331704,4.707800,4.132433,0.575367
2009,3.521244,3.989485,4.808165,4.339924,0.468241
2010,3.642431,4.138754,5.166136,4.669813,0.496323
2011,3.602801,4.086785,5.511594,5.027610,0.483983
2012,3.562186,4.011703,5.690585,5.241068,0.449517
2013,3.578511,3.965880,5.752155,5.364785,0.387370
2014,3.525581,3.897676,5.844037,5.471942,0.372096
2015,3.494495,3.812813,5.852649,5.534330,0.318318
2016,3.455561,3.776942,5.890468,5.569087,0.321381
2017,3.450413,3.772270,6.041943,5.720086,0.321857
2018,3.470305,3.811154,6.214011,5.873162,0.340849
2019,3.378546,3.729097,6.406798,6.056247,0.350551
2020,3.080470,3.438922,6.273429,5.914977,0.358452
2021,3.247298,3.652750,6.604808,6.199356,0.405451
2022,3.225195,3.670582,6.674847,6.229459,0.445388
