"Year","PNG production Eora 199.082 (2023)","PNG consumption Eora 199.082 (2023)","PNG net_trade Eora 199.082 (2023)"
1970,0.718000,0.501793,-0.216207
1971,0.850000,0.276210,-0.573790
1972,1.290000,0.212741,-1.077259
1973,1.370000,0.107421,-1.262579
1974,1.610000,0.432470,-1.177530
1975,1.560000,0.952361,-0.607639
1976,1.600000,1.449590,-0.150410
1977,1.610000,2.259954,0.649954
1978,1.710000,2.577926,0.867926
1979,1.830000,3.125744,1.295744
1980,1.860000,3.498409,1.638409
1981,1.960000,3.583749,1.623749
1982,1.980000,3.204996,1.224996
1983,2.040000,2.540628,0.500628
1984,2.080000,1.981924,-0.098076
1985,2.160000,3.825035,1.665035
1986,2.100000,-2.581699,-4.681699
1987,2.370000,-2.987035,-5.357035
1988,2.240000,1.623181,-0.616819
1989,2.070000,3.717231,1.647231
1990,2.190000,2.992443,0.802443
1991,2.120000,2.984750,0.864750
1992,2.110000,2.141385,0.031385
1993,2.050000,-1.748713,-3.798713
1994,2.240000,0.243198,-1.996802
1995,2.110000,2.292091,0.182091
1996,2.240000,2.366597,0.126597
1997,2.670000,2.873674,0.203674
1998,3.620000,3.142770,-0.477230
1999,2.620000,2.432059,-0.187941
2000,3.010000,2.521616,-0.488384
2001,3.400000,2.820175,-0.579825
2002,3.730000,3.037033,-0.692967
2003,4.160000,3.365145,-0.794855
2004,4.770000,3.880959,-0.889041
2005,5.070000,4.126799,-0.943201
2006,5.150000,4.410573,-0.739427
2007,6.670000,5.735036,-0.934964
2008,5.640000,5.129762,-0.510238
2009,5.340000,5.190352,-0.149648
2010,4.880000,5.073468,0.193468
2011,5.440000,5.989468,0.549468
2012,5.190000,6.032367,0.842367
2013,6.490000,6.622911,0.132911
2014,6.610000,6.660113,0.050113
2015,6.890000,6.841073,-0.048927
2016,7.770000,9.113539,1.343539
2017,8,8.842460,0.842460
2018,7.815506,9.559827,1.744321
2019,8.199663,9.737292,1.537629
2020,8.442606,10.010200,1.567594
2021,8.680175,10.122370,1.442195
2022,8.532303,10.024400,1.492097
