"Year","OECD_production","OECD_consumption","Non-OECD_production","Non-OECD_consumption","transfers"
1990,3.292409,4.039506,2.768485,2.021388,0.747097
1991,3.288772,3.991277,2.906523,2.204017,0.702506
1992,3.307494,3.803637,2.703446,2.207304,0.496143
1993,3.327379,3.787283,2.746122,2.286218,0.459904
1994,3.379159,3.794735,2.729622,2.314046,0.415576
1995,3.423389,3.822750,2.809865,2.410505,0.399360
1996,3.534345,3.912376,2.876254,2.498223,0.378031
1997,3.557524,3.895096,2.882672,2.545101,0.337571
1998,3.555911,3.903053,2.848326,2.501185,0.347142
1999,3.591741,3.955588,2.947415,2.583568,0.363848
2000,3.682831,4.075830,3.050264,2.657265,0.392999
2001,3.669998,4.085987,3.122909,2.706919,0.415990
2002,3.694568,4.125197,3.260619,2.829990,0.430629
2003,3.759609,4.254615,3.560157,3.065151,0.495006
2004,3.797795,4.325003,3.771071,3.243863,0.527208
2005,3.812964,4.398134,4.012346,3.427176,0.585170
2006,3.797331,4.429365,4.280758,3.648725,0.632034
2007,3.838398,4.450512,4.473388,3.861274,0.612114
2008,3.739009,4.339472,4.728318,4.127855,0.600463
2009,3.501621,3.994490,4.835489,4.342620,0.492869
2010,3.621023,4.146202,5.189993,4.664814,0.525179
2011,3.579315,4.091435,5.530420,5.018300,0.512120
2012,3.536412,4.018010,5.718872,5.237274,0.481598
2013,3.550196,3.970979,5.786089,5.365306,0.420783
2014,3.496350,3.908102,5.908691,5.496939,0.411752
2015,3.463923,3.821873,5.924770,5.566820,0.357950
2016,3.426289,3.784967,5.949642,5.590964,0.358678
2017,3.422990,3.777655,6.092903,5.738238,0.354665
2018,3.443934,3.814157,6.260164,5.889941,0.370223
2019,3.348293,3.727099,6.431456,6.052650,0.378806
2020,3.041785,3.447395,6.326549,5.920940,0.405610
