"Year","fossil_carbon","land-use_change","atmosphere","land","ocean"
1850,0.053738,0.661767,0.189248,0.483405,0.164195
1851,0.054259,0.685900,0.125528,-0.227686,0.165485
1852,0.056646,0.696233,0.069667,0.036540,0.171645
1853,0.059282,0.711933,0.009770,-0.013022,0.172905
1854,0.069634,0.718033,-0.039082,0.325674,0.174320
1855,0.071006,0.721567,-0.063508,0.259904,0.180830
1856,0.075680,0.730367,-0.063295,0.665408,0.182270
1857,0.076389,0.736867,-0.052888,0.935754,0.188960
1858,0.077558,0.745433,-0.036320,0.205451,0.195610
1859,0.082236,0.753500,-0.013806,-0.088798,0.197600
1860,0.090241,0.723200,0.014868,0.337675,0.199670
1861,0.094906,0.689067,0.050976,-0.598684,0.206965
1862,0.096631,0.683600,0.094730,-0.416982,0.219015
1863,0.103127,0.683633,0.146556,0.740278,0.226390
1864,0.111105,0.674700,0.207090,0.623694,0.228825
1865,0.117988,0.666800,0.274208,0.052027,0.236465
1866,0.121717,0.664000,0.334955,0.543308,0.244015
1867,0.130408,0.664367,0.385931,0.576178,0.252090
1868,0.133939,0.660033,0.427561,0.747180,0.259695
1869,0.142230,0.653533,0.459209,0.132431,0.268030
1870,0.145343,0.702233,0.481723,0.642219,0.271125
1871,0.154515,0.732700,0.495742,-0.175338,0.279130
1872,0.170953,0.747967,0.497441,0.098136,0.287825
1873,0.181610,0.767367,0.486608,0.004963,0.295945
1874,0.170032,0.781300,0.463032,0.300491,0.304650
1875,0.184443,0.788900,0.431384,0.388891,0.313115
1876,0.187105,0.799633,0.410569,0.728746,0.321800
1877,0.190802,0.812200,0.404834,1.117813,0.335460
1878,0.192243,0.825933,0.414392,0.389355,0.344270
1879,0.206023,0.836533,0.438181,0.068797,0.352770
1880,0.232998,0.846267,0.468554,0.536573,0.361520
1881,0.240831,0.845233,0.504450,-0.226145,0.370275
1882,0.254345,0.862400,0.545656,-0.180534,0.379010
1883,0.270478,0.878967,0.592384,1.073158,0.387230
1884,0.273519,0.884333,0.647395,0.834912,0.395745
1885,0.275565,0.885333,0.719824,0.274971,0.404035
1886,0.279879,0.893033,0.783331,0.862172,0.407160
1887,0.293875,0.907700,0.822200,0.839824,0.415325
1888,0.325402,0.907233,0.839617,1.032937,0.418595
1889,0.325273,0.913133,0.853211,0.534844,0.426245
1890,0.354383,0.946133,0.863618,0.851959,0.433865
1891,0.370872,0.972667,0.861919,0.010686,0.436430
1892,0.373932,0.982300,0.844290,0.312498,0.443940
1893,0.369451,1.000933,0.812855,0.350871,0.451390
1894,0.382330,1.010600,0.773561,0.676312,0.459270
