"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.054269,0.869571,185818.612450,17833171
1991,0.065785,1.089036,203555.867550,18342464
1992,0.072961,1.228524,221642.046530,18834572
1993,0.086612,1.235834,243573.401440,19322664
1994,0.087497,1.312319,266011.484970,19820446
1995,0.109595,1.435785,292157.980470,20330599
1996,0.110108,1.602754,321381.668780,20850087
1997,0.118471,1.859207,344915.618740,21375218
1998,0.109782,1.787254,319531.846310,21906713
1999,0.103987,1.909651,339143.471290,22435531
2000,0.122881,2.204319,369187.744320,22967816
2001,0.130890,2.256811,371098.938150,23526538
2002,0.132035,2.377033,391104.838510,24102477
2003,0.153384,2.575177,413743.939300,24679602
2004,0.169674,2.782540,441810.001750,25256772
2005,0.169978,3.011129,465367.925880,25836071
2006,0.170166,3.042729,491358.012840,26417909
2007,0.175454,3.245219,522307.602200,26998389
2008,0.192847,3.364605,547544.303660,27570059
2009,0.192123,3.258855,539257.063390,28124778
2010,0.199346,3.366672,579296.077350,28655776
2011,0.203453,3.424215,609963.506730,29162039
2012,0.212994,3.746443,643349.579860,29662831
2013,0.241671,3.920558,673546.624010,30174265
2014,0.245053,3.951416,714004.696890,30696137
2015,0.235942,4.012469,750358.477530,31232798
2016,0.237294,4.220292,783747.789470,31789685
2017,0.244457,4.278568,829304.872870,32355644
2018,0.262647,4.356467,869468.577330,32910967.000000
2019,0.277673,4.468672,908068.385170,33440596.000000
2020,0.262159,4.308822,856790.264390,33889558
2021,0.273332,4.504802,883629.830830,34282399
2022,0.281884,4.879832,933168.716090,34695493
2023,0.276297,4.770452,984505.491450,35126298
2024,0.290224,4.975127,1032611.165000,35557673
