"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.316746,4.748658,1240120.963200,82820170
1991,0.329831,4.887648,1292481.979500,84430572
1992,0.332453,4.982793,1339381.741700,86044809
1993,0.337722,4.987389,1386982.120800,87653807
1994,0.351534,5.272719,1455514.026800,89259205
1995,0.330905,5.181615,1363944.279700,90862455
1996,0.341544,5.316795,1456327.754200,92452702
1997,0.362466,5.445717,1556040.365100,94021207
1998,0.381102,5.667018,1636393.124900,95575245
1999,0.386036,5.750288,1681452.096200,97115707
2000,0.391435,6.106238,1764557.089100,98625552
2001,0.407485,6.048982,1757421.395000,100099099
2002,0.410301,6.195967,1756721.158700,101548624
2003,0.435969,6.271076,1782130.070200,102978515
2004,0.438588,6.638030,1852000.096200,104394131
2005,0.463436,7.272588,1894740.685800,105811504
2006,0.474523,7.377967,1979910.756000,107253666
2007,0.473595,7.446880,2025279.336300,108774360
2008,0.472981,7.753051,2048440.119100,110374288
2009,0.460290,7.622078,1940164.815800,111999721
2010,0.456409,7.651633,2039464.741500,113623895
2011,0.483302,7.998792,2114170.497800,115243504
2012,0.501492,8.070806,2191175.408500,116818208
2013,0.495412,8.074287,2220845.938700,118343573
2014,0.484045,8.030065,2284135.012100,119784261
2015,0.479434,7.939517,2359355.040000,121072306
2016,0.478828,8.194246,2421418.638800,122251351
2017,0.464407,8.386943,2472586.341500,123400057
2018,0.468421,8.223619,2526859.480800,124573711
2019,0.468236,8.136602,2522161.878700,125762982
2020,0.428937,7.454022,2316167.888900,126799054
2021,0.446838,7.914763,2427278.942000,127648148
2022,0.453799,8.268706,2475885.397300,128613117
2023,0.458254,8.258920,2537839.287500,129739759
2024,0.460988,8.316687,2583459.362100,130861007
