"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,2.292240,1.171756,0.209681,0.320227,0.271968,0.318608,,
1991,2.185282,1.098704,0.214699,0.311489,0.259425,0.300965,,
1992,1.754596,1.071292,0.118936,0.253553,0.238751,0.072064,,
1993,1.691502,1.051045,0.106119,0.231824,0.232591,0.069924,,
1994,1.495989,0.959791,0.074611,0.216054,0.211562,0.033972,,
1995,1.458650,0.910024,0.104102,0.207669,0.197439,0.039416,,
1996,1.438532,0.904244,0.131581,0.198625,0.175924,0.028158,,
1997,1.334128,0.851854,0.098398,0.184508,0.169776,0.029591,,
1998,1.328032,0.856537,0.093754,0.192205,0.159981,0.025554,,
1999,1.335184,0.841234,0.094252,0.186543,0.174910,0.038245,,
2000,1.307466,0.842783,0.098027,0.174235,0.181635,0.010786,,
2001,1.343107,0.854618,0.103380,0.178527,0.191900,0.014681,,
2002,1.320403,0.850545,0.099363,0.186028,0.164733,0.019733,,
2003,1.342026,0.862232,0.094051,0.194818,0.166839,0.024085,,
2004,1.335117,0.850594,0.092245,0.206361,0.158118,0.027799,,
2005,1.352331,0.862012,0.110875,0.208794,0.137690,0.032961,,
2006,1.401739,0.893033,0.113534,0.216009,0.139569,0.039594,,
2007,1.390632,0.879435,0.108570,0.222786,0.139021,0.040819,,
2008,1.442563,0.898751,0.124519,0.228920,0.143475,0.046899,,
2009,1.353817,0.838400,0.119544,0.214449,0.142820,0.038604,,
2010,1.415382,0.878989,0.128847,0.230645,0.136130,0.040772,,
2011,1.459168,0.888465,0.139989,0.240796,0.145875,0.044042,,
2012,1.466675,0.911096,0.149961,0.234224,0.124651,0.046743,,
2013,1.407301,0.853376,0.142423,0.238141,0.139514,0.033846,,
2014,1.415575,0.848749,0.138043,0.250804,0.143657,0.034321,,
2015,1.419777,0.820618,0.143957,0.266785,0.154346,0.034071,,
2016,1.413597,0.808936,0.163831,0.248523,0.159724,0.032583,,
2017,1.434648,0.806670,0.176216,0.248065,0.175759,0.027939,,
2018,1.471248,0.825031,0.164242,0.254393,0.207936,0.019647,,
2019,1.452614,0.813318,0.158223,0.247731,0.204044,0.029298,,
2020,1.379002,0.820710,0.147161,0.230083,0.151734,0.029315,,
2021,1.413658,0.836808,0.148726,0.211871,0.173668,0.042587,,
2022,1.424191,0.832822,0.147767,0.228927,0.174067,0.040608,,
2023,1.475779,0.860941,0.152509,0.245244,0.174888,0.042198,,
2024,1.526846,0.862563,0.137860,0.288793,0.189443,0.048189,,
