"Year","Electricity generation","Combined heat and power generation","Residential: Stationary combustion","All others"
1990,0,0,32.841811,0
1991,0,0,32.874319,0
1992,0,0,32.874053,0
1993,0,0,32.635173,0
1994,0,0,32.484975,0
1995,0,0,32.330398,0
1996,0,0,31.955598,0
1997,0,0,32.147252,0
1998,0,0,31.706654,0
1999,0,0,30.742137,0
2000,0.093071,0.070352,29.557571,0
2001,0.057474,0.047599,28.425308,0
2002,0.070388,0.046099,27.339206,0
2003,0.050275,0.019837,26.300228,0
2004,0.032013,0.021783,25.305042,0
2005,0.017129,0.003506,24.353208,0
2006,0.022323,0.026161,23.441392,0.005240
2007,0.036149,0.033498,22.569155,0.031470
2008,0.059817,0.040305,21.535223,0.195220
2009,0.108016,0.050045,20.930525,0.026610
2010,0.158124,0.047822,20.091857,0.019550
2011,0.126861,0.067269,15.371521,0.052440
2012,0.166653,0.163642,14.882732,0.068120
2013,0.313507,0.209810,14.276312,0.151110
2014,0.336298,0.327797,13.499411,0.228140
2015,0.383850,0.283625,8.481406,0.359230
2016,0.561971,0.320070,7.697599,0.344388
2017,0.803995,0.351282,6.348728,0.371365
2018,0.946460,0.593747,4.548170,0.470944
2019,1.415118,0.599580,4.896644,0.517939
2020,2.514926,0.623453,5.393625,0.360278
2021,4.605700,0.785504,5.575977,0.679133
2022,5.714877,0.781085,6.367844,0.472911
2023,7.152043,0.714393,6.588973,0.449653
2024,7.692618,1.022358,6.148343,0.443758
