"Year","Electricity generation","Pulp, paper and print","Manufacturing industries and construction: Other","Cars","Heavy duty trucks and buses","Residential: Stationary combustion","All other Manufacturing industries and construction","All others"
1990,0.613465,0.606886,0.000938,0,0,1.107380,0.010083,0
1991,0.619318,0.587422,0.000938,0,0,1.242435,0,0
1992,0.628896,0.599107,0.000469,0,0,1.359403,0,0
1993,0.646266,0.199027,0,0,0,1.388137,0,0
1994,0.688818,0.334691,0.033041,0,0,1.399930,0.000687,0
1995,0.756405,0.441791,0.039758,0,0,1.434315,0.040203,0
1996,0.747721,0.439041,0.084599,0,0,1.660567,0.036997,0
1997,0.744178,0.529087,0.125212,0,0,1.386648,0.043727,0
1998,0.802456,0.474616,0.204256,0,0,1.394846,0.038289,0.001369
1999,0.758565,0.588626,0.222628,0,0,1.348837,0.091517,0.001369
2000,0.823471,0.551115,0.181463,0,0,1.307696,0.116888,0.013346
2001,0.854261,0.566936,0.129602,0,0,1.442223,0.319997,0.010432
2002,1.149225,0.723059,0.119964,0,0,1.306712,0.325218,0.019060
2003,1.222794,0.826077,0.328535,0,0,1.600197,0.347166,0.020323
2004,1.389169,1.135806,0.404525,0,0,1.744640,0.292878,0.032448
2005,1.731456,1.078659,0.364341,0,0,1.832863,0.347323,0.015001
2006,2.315393,1.141700,0.367290,0,0,1.986420,0.377318,0.020416
2007,2.834331,1.178393,0.394313,0,0,1.988497,0.384230,0.099818
2008,3.488813,1.096735,0.622052,0,0,2.343060,0.583139,0.136781
2009,3.803716,1.095522,0.774874,0.227407,0.122833,2.531572,0.741037,0.287929
2010,4.304022,1.347611,0.708809,0.613968,0.335471,3.015099,0.796296,0.405568
2011,4.323070,1.366820,0.860238,0.598263,0.319032,2.174861,0.794737,0.357150
2012,4.912723,1.413864,0.790745,0.591437,0.317371,2.613805,0.817728,0.406429
2013,4.883719,1.657082,0.851727,0.579286,0.325217,3.003987,0.936540,0.478798
2014,3.764224,1.700870,0.847581,0.661451,0.424326,2.169478,0.969673,0.547369
2015,4.825949,1.602430,0.861904,0.425029,0.248476,2.572725,0.966917,0.512552
2016,4.638599,1.533011,0.921991,0.674842,0.459878,2.888533,0.963378,0.557960
2017,4.872781,1.545046,0.883901,0.758487,0.449970,2.710418,0.965468,0.549893
2018,4.634281,1.664570,0.854684,0.732769,0.449828,2.673631,1.028046,0.519507
2019,4.513685,1.473432,0.809104,0.738595,0.451647,2.635061,1.033594,0.517173
2020,4.414302,1.343082,0.950263,0.900111,0.821800,2.410802,1.038614,0.602967
2021,3.972365,1.452452,0.812233,1.002487,0.827480,2.970270,1.125241,0.631874
2022,4.038789,1.425245,0.903153,1.063433,0.860237,2.756204,1.019285,0.685018
2023,3.266354,1.370199,1.084847,1.054841,0.875091,2.869818,0.953640,0.683660
2024,2.735716,1.460129,1.037808,0.910006,0.740381,2.863271,1.024986,0.625253
