"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.914067,-0.000084,-0.000333,-0.002049,
1991,-1.925528,-0.000167,-0.000666,-0.004078,
1992,-1.936982,-0.000251,-0.000999,-0.006089,
1993,-1.948433,-0.000335,-0.001331,-0.008081,
1994,-1.959878,-0.000418,-0.001664,-0.010054,
1995,-1.971319,-0.000502,-0.001997,-0.012008,
1996,-1.982753,-0.000586,-0.002330,-0.013943,
1997,-1.994204,-0.000669,-0.002663,-0.015859,
1998,-2.005645,-0.000753,-0.002996,-0.017756,
1999,-2.054036,-0.000837,-0.003329,-0.019634,
2000,-2.069538,-0.000920,-0.003661,-0.021493,
2001,-2.089156,-0.001004,-0.003994,-0.023334,
2002,-1.983239,-0.001088,-0.004327,-0.025155,
2003,-1.999012,-0.001171,-0.004660,-0.026957,
2004,-2.014792,-0.001255,-0.004993,-0.028741,
2005,-2.030489,-0.001338,-0.005326,-0.030608,
2006,-2.046192,-0.001422,-0.005659,-0.032469,
2007,-2.061900,-0.001506,-0.005991,-0.034324,
2008,-2.077612,-0.001589,-0.006324,-0.036173,
2009,-2.093428,-0.001673,-0.006657,-0.038015,
2010,-2.102941,-0.001938,-0.007711,-0.045559,
2011,-2.127552,-0.002203,-0.008765,-0.053136,
2012,-2.152935,-0.002468,-0.009819,-0.060748,
2013,-1.973455,-0.002733,-0.010873,-0.064857,
2014,-1.967286,-0.002998,-0.011927,-0.069031,
2015,-1.797349,-0.003263,-0.012981,-0.073272,
2016,-1.954822,-0.003527,-0.014035,-0.079324,
2017,-1.950665,-0.003792,-0.015089,-0.085426,
2018,-1.905424,-0.004057,-0.016143,-0.091454,
2019,-1.779800,-0.004322,-0.017198,-0.097518,
2020,-1.805478,-0.004587,-0.018252,-0.103617,
2021,-1.829969,-0.004852,-0.019306,-0.109751,
2022,-1.828883,-0.005117,-0.020360,-0.115921,
2023,-1.820430,-0.005382,-0.021414,-0.122127,
2024,-1.841573,-0.005647,-0.022468,-0.128544,
