"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-393.886836,79.678232,33.774675,21.009391,25.372140,2.235019,-27.063269,0
1991,-482.745795,67.897712,25.352717,20.933933,25.559501,1.776234,-15.676919,0
1992,-469.082938,81.677953,25.173341,20.564981,24.638982,1.764759,-10.853769,0
1993,-471.003136,70.756829,21.875857,19.031985,26.405058,1.741246,-16.454852,0
1994,-476.460875,80.147087,24.431949,20.606884,24.293564,1.763189,-24.038934,3.766427
1995,-495.620849,74.931225,24.245236,20.842081,24.234629,1.538780,-27.348613,4.238737
1996,-496.080359,59.832725,23.861218,20.796790,24.481807,1.531036,-26.988828,3.296358
1997,-490.945015,69.944864,26.150758,20.692873,24.699814,1.541554,-32.744011,2.596724
1998,-483.758771,70.232773,23.545052,18.777359,24.765451,1.544691,-34.663223,2.074157
1999,-488.029650,67.296360,25.052607,21.852808,24.645443,1.572338,-38.485181,1.681190
2000,-442.930233,71.147446,26.157415,20.711202,24.997793,1.549377,-45.503722,1.383485
2001,-479.673141,53.248700,19.121189,21.849776,25.343610,1.581752,-38.692737,1.156097
2002,-482.858881,72.956590,17.044419,21.558959,25.113715,1.473683,-43.505009,0.980935
2003,-431.497339,45.498796,28.063216,23.943601,26.622282,1.600968,-48.908934,0.844694
2004,-455.169292,55.249036,18.037726,22.602417,27.390059,1.505103,-54.019612,0.737785
2005,-455.371553,55.316532,18.759073,23.745813,27.359902,1.605179,-55.173835,0.653070
2006,-462.735236,62.000094,17.805701,24.115871,27.911313,1.458593,-62.464242,0.585287
2007,-421.019201,72.030306,23.112249,21.601633,30.165731,1.474905,-65.275774,0.530524
2008,-472.575025,52.714206,21.939724,22.854983,30.918307,1.483192,-43.748632,0.485933
2009,-493.369569,55.475423,23.789578,22.831360,32.846183,1.593374,-27.024060,0.449260
2010,-477.333827,57.338481,17.422097,23.825117,33.789392,1.561624,-35.960778,0.418903
2011,-465.981751,60.540911,18.622376,24.312033,31.744183,1.662471,-34.927452,0.393567
2012,-470.156349,47.645374,22.115362,22.861936,31.578080,1.568614,-31.334865,0.372316
2013,-471.223129,59.602105,15.450898,24.398543,30.666948,1.594634,-27.971871,0.354382
2014,-438.697808,56.900245,12.938724,23.657133,32.121770,1.506037,-32.372043,0.339133
2015,-421.583677,48.279610,12.071368,24.333873,31.974776,1.588759,-34.009828,0.326146
2016,-416.159415,47.638866,14.436496,24.061550,35.698680,1.493636,-35.622625,0.315048
2017,-361.796556,52.663821,15.366755,24.643118,30.695527,1.561930,-38.327490,0.305538
2018,-305.511760,37.684840,7.471154,26.231025,31.784184,2.004352,-39.794625,0.297338
2019,-314.025900,48.742544,11.431143,24.734002,30.964906,1.678389,-40.561029,0.290273
2020,-313.132773,47.502918,6.919395,25.276771,31.922266,1.829559,-37.883987,0.284170
2021,-296.162848,50.512561,9.249774,24.591463,30.137848,1.685173,-46.797195,0.278894
2022,-302.456553,48.811440,13.873128,24.990277,31.193173,2.152424,-37.341604,0.274305
2023,-326.660988,64.025658,6.011632,23.351430,40.427402,1.833178,-25.315161,0.270354
2024,-329.987457,48.873634,9.168265,23.089135,39.887401,1.946704,-24.818352,0.266903
