"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-1.660092,-0.043770,0.303184,-0.532315,0.001482
1991,-4.170279,-0.238798,-0.718336,-0.518399,0.001485
1992,-4.235942,-0.038014,0.224758,-0.546893,0.001491
1993,-4.400373,-0.195800,-0.570509,-0.545382,0.001494
1994,-4.025187,0.111186,0.953441,-0.571565,0.001496
1995,-3.890010,-0.110032,-0.330809,-0.562626,0.001498
1996,-3.391428,-0.853100,-2.183417,-0.537290,0.001501
1997,-2.794744,-0.560966,-0.735408,-0.557251,0.001503
1998,-2.016727,-0.500968,-0.732308,-0.556086,0.001506
1999,-2.225448,-0.240160,0.268678,-0.587345,0.001505
2000,4.745490,-0.308877,-0.173885,-0.564787,0.001507
2001,-0.916227,-0.256798,-0.155535,-0.571240,0.001507
2002,-2.663580,-0.223410,0.034370,-0.551106,0.001508
2003,-1.808276,-0.271333,-0.334904,-0.491127,0.001508
2004,-1.740754,-0.450300,-1.221133,-0.497200,0.001508
2005,-1.449185,-0.443054,-1.149941,-0.492937,0.001510
2006,-0.790647,-0.171166,0.462024,-0.506356,0.001515
2007,-0.811043,-0.282455,-0.147628,-0.498594,0.001520
2008,-1.551052,-0.375618,-0.457888,-0.491044,0.001523
2009,-2.223905,-0.243047,-0.006092,-0.490565,0.001527
2010,-1.785169,-0.488141,-1.197691,-0.474274,0.001534
2011,-1.878885,-0.220813,0.143595,-0.482978,0.001542
2012,-2.622477,-0.084963,0.496727,-0.505021,0.001544
2013,-2.406999,-0.270063,-0.452182,-0.484352,0.001549
2014,-2.173390,-0.128264,0.201996,-0.492520,0.001558
2015,-2.820625,-0.136335,0.173360,-0.475553,0.001558
2016,-2.992758,-0.128230,-0.066633,-0.492228,0.001560
2017,-2.598707,-0.129662,0.015724,-0.490413,0.001561
2018,0.152372,-0.379977,-0.030027,-0.494222,0.001567
2019,-0.850224,-0.409987,-0.328410,-0.505912,0.001574
2020,-0.577984,-0.438001,-0.559913,-0.501068,0.001582
2021,-0.208505,-0.550918,-1.066446,-0.502653,0.001589
2022,0.164352,-0.205404,0.240501,-0.499127,0.001592
2023,-0.326457,-0.009477,0.830380,-0.520313,0.001596
2024,-0.515765,-0.174484,0.088364,-0.506442,0.001597
