"Year","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,-0.128986,0.340000,-0.736000,0.023600,0.350208
2018,-0.097416,0.762000,4.915000,-0.010800,0.261892
2019,-0.014829,3.128000,0.866000,0.024100,0.232571
2020,0.009367,0.060000,-2.290000,-0.000450,0.420988
2021,-0.108306,-1.116000,-4.460000,-0.000510,0.243344
2022,-0.121757,-5.999000,4.583000,0.004754,1.015756
2023,-0.092202,7.279000,0.221000,0.018833,1.056351
2024,-0.036784,7.557000,-0.351000,0.002012,1.046480
2025,-0.052647,-10.852000,-4.604000,-0.012965,2.124854
2026,-0.002477,-0.345000,-0.747000,-0.006981,0.005000
