"Year","Electricity generation","Combined heat and power generation","Heat plants","Manufacturing industries and construction: Other","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","Road transportation","All others"
1990,0.007516,1.328228,0.022549,0.327414,0.364197,2.194379,0,0.225459
1991,0.007404,1.257469,0.022213,0.370753,0.409299,2.393864,0,0.215274
1992,0.008993,1.252879,0.026980,0.398254,0.410176,2.267731,0,0.198256
1993,0.010088,1.271494,0.030264,0.426236,0.421813,2.234458,0,0.192105
1994,0.011011,1.256040,0.033033,0.426084,0.414111,2.028828,0,0.205038
1995,0.011649,1.264713,0.034872,0.448382,0.465748,2.120693,0,0.230903
1996,0.016022,1.273908,0.047512,0.527059,0.525759,2.262702,0,0.273859
1997,0.012203,1.323369,0.034319,0.463158,0.501122,1.978367,0.003947,0.277800
1998,0.011929,1.393717,0.031154,0.498804,0.537818,1.998993,0.003226,0.259238
1999,0.011429,1.461038,0.029730,0.508923,0.559746,1.960605,0.001053,0.273688
2000,0.014827,1.571080,0.039798,0.529889,0.540725,1.782287,0.001273,0.280019
2001,0.015644,1.636400,0.042626,0.576160,0.585534,1.873616,0.001810,0.341986
2002,0.018080,1.656663,0.050716,0.596396,0.571203,1.754002,0.002681,0.375407
2003,0.020078,1.658366,0.057264,0.651755,0.617062,1.851446,0.003789,0.414750
2004,0.021091,1.733840,0.060152,0.659688,0.627507,1.820793,0.006596,0.435396
2005,0.021881,1.824587,0.062446,0.685570,0.646351,1.903238,0.015471,0.415195
2006,0.025112,2.018658,0.068736,0.708329,0.717548,1.889071,0.018720,0.418948
2007,0.059670,1.974176,0.086028,0.784420,0.700497,1.727079,0.027519,0.413560
2008,0.110629,1.983928,0.120300,0.874984,0.770607,1.956486,0.028974,0.361104
2009,0.144804,1.968947,0.142589,0.943570,0.814767,1.958945,0.023028,0.259317
2010,0.082049,2.061488,0.213413,0.982876,0.878298,2.174758,0.026411,0.299256
2011,0.138961,2.058663,0.258915,0.922423,0.767220,1.795985,0.026895,0.308307
2012,0.187811,2.138138,0.314878,0.969253,0.877886,1.987874,0.029371,0.349223
2013,0.200069,2.079095,0.394196,1.012403,0.960245,2.198191,0.026143,0.348555
2014,0.201288,2.118330,0.230365,1.004769,0.911299,1.742350,0.051092,0.362144
2015,0.101069,2.159181,0.208382,1.018411,1.013305,1.912144,0.134804,0.364267
2016,0.115756,2.236796,0.205756,1.105124,1.094525,2.061411,0.231780,0.406503
2017,0.177482,2.234249,0.224530,1.151044,1.104353,2.032714,0.361719,0.430141
2018,0.158426,2.241898,0.212248,1.086587,1.067249,1.920349,0.493775,0.445858
2019,0.165976,2.244799,0.235836,1.146805,1.115814,1.970036,0.506120,0.463113
2020,0.202693,2.240003,0.241136,1.157913,1.197496,1.791633,0.459043,0.490387
2021,0.253585,2.196101,0.260632,1.360064,1.396495,2.063674,0.413596,0.541484
2022,0.256081,2.098081,0.280012,1.274291,1.255276,1.796598,0.426019,0.516829
2023,0.303661,2.113748,0.370005,1.243230,1.322472,1.830156,0.471467,0.513309
2024,0.429801,2.176862,0.517840,1.186109,1.161077,1.916158,0.607512,0.490434
