"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,3.955014,1.767152,0.504854,1.237883,0.434065,0.011060,,
1991,4.486567,1.830036,0.931306,1.238895,0.474029,0.012302,,
1992,4.809761,2.127657,0.715600,1.386027,0.565580,0.014897,,
1993,4.985213,2.250247,0.757315,1.399916,0.562273,0.015462,,
1994,5.194970,2.379102,0.770405,1.455170,0.574380,0.015913,,
1995,5.100235,2.173592,0.758030,1.543612,0.607734,0.017267,,
1996,5.393320,2.288842,0.858691,1.593507,0.634109,0.018170,,
1997,5.514054,2.418993,0.757967,1.659909,0.658111,0.019073,,
1998,5.854923,2.652100,0.760988,1.737016,0.684504,0.020315,,
1999,6.117164,2.836242,0.786058,1.782219,0.691766,0.020879,,
2000,6.340089,2.964249,0.802312,1.821139,0.730833,0.021556,,
2001,6.230410,2.846696,0.747337,1.880604,0.733992,0.021782,,
2002,6.390236,3.008390,0.759612,1.862994,0.738360,0.020879,,
2003,6.778178,3.235298,0.785754,1.972519,0.763165,0.021443,,
2004,6.938251,3.294288,0.862356,2.074293,0.686709,0.020605,,
2005,7.129040,3.483134,0.903362,2.113311,0.609993,0.019240,,
2006,7.318011,3.664886,0.867345,2.100807,0.670846,0.014127,,
2007,7.614445,3.813901,0.898656,2.238758,0.642592,0.020538,,
2008,7.831559,3.979965,0.879595,2.329278,0.599747,0.042974,,
2009,7.751196,4.005020,0.767198,2.331699,0.626775,0.020505,,
2010,7.519351,3.880128,0.670069,2.378016,0.570634,0.020505,,
2011,7.257347,3.721715,0.579463,2.307582,0.621704,0.026882,,
2012,6.770280,3.557180,0.460339,2.132144,0.600112,0.020505,,
2013,5.845030,2.838728,0.540042,1.918774,0.520817,0.026670,,
2014,5.975821,2.949539,0.679872,1.851414,0.456813,0.038184,,
2015,6.101383,3.032615,0.596150,1.915017,0.532204,0.025396,,
2016,6.492056,3.310576,0.597049,2.033330,0.525705,0.025396,,
2017,6.573159,3.298484,0.615565,2.098001,0.535563,0.025546,,
2018,6.498757,3.353047,0.546307,2.109071,0.463587,0.026744,,
2019,6.552318,3.292520,0.555160,2.136358,0.542250,0.026029,,
2020,6.042694,3.032826,0.560808,1.913152,0.509790,0.026118,,
2021,6.203659,3.087560,0.561524,2.048380,0.483088,0.023107,,
2022,6.233589,3.114888,0.566116,2.016512,0.511796,0.024276,,
2023,6.185322,3.059742,0.565725,2.080064,0.456527,0.023265,,
2024,6.374206,3.225748,0.560529,2.103100,0.461966,0.022865,,
