"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.092145,0.033111,-0.000106,-0.000007,-0.000001,
1991,-0.091556,0.058632,-0.000212,-0.000013,-0.000002,
1992,-0.090968,0.050222,-0.000318,-0.000020,-0.000003,
1993,-0.090380,0.066576,-0.000423,-0.000027,-0.000004,
1994,-0.089791,0.065481,-0.000529,-0.000034,-0.000005,
1995,-0.089203,0.056621,-0.000635,-0.000040,-0.000006,
1996,-0.088614,0.065756,-0.000741,-0.000047,-0.000007,
1997,-0.088026,0.058531,-0.000847,-0.000054,-0.000008,
1998,-0.087438,0.083139,-0.000953,-0.000061,-0.000009,
1999,-0.086849,0.038369,-0.001059,-0.000067,-0.000011,
2000,-0.086261,0.055725,-0.001165,-0.000074,-0.000012,
2001,-0.094557,0.061636,-0.001550,-0.000099,-0.000046,
2002,-0.102777,0.027245,-0.001936,-0.000123,-0.000080,
2003,-0.111092,0.019887,-0.002322,-0.000148,-0.000115,
2004,-0.111194,0.019930,-0.002708,-0.000172,-0.000149,
2005,-0.110954,0.016821,-0.003094,-0.000197,-0.000183,
2006,-0.111085,0.014358,-0.003480,-0.000222,-0.000218,
2007,-0.111186,0.068534,-0.003724,-0.000237,-0.000244,
2008,-0.134574,0.035366,-0.003968,-0.000253,-0.000270,
2009,-0.150080,0.029886,-0.004211,-0.000268,-0.000296,
2010,-0.150232,0.024817,-0.004349,-0.000277,-0.000321,
2011,-0.185489,0.021382,-0.004487,-0.000286,-0.000347,
2012,-0.185602,0.023261,-0.004624,-0.000294,-0.000372,
2013,-0.185983,0.020721,-0.005548,-0.000353,-0.000399,
2014,-0.186353,0.022565,-0.006472,-0.000412,-0.000426,
2015,-0.186741,0.021863,-0.007396,-0.000471,-0.000453,
2016,-0.187063,0.118270,-0.008320,-0.000530,-0.000481,
2017,-0.187385,0.014330,-0.009245,-0.000589,-0.000508,
2018,-0.187706,0.018290,-0.010169,-0.000647,-0.000535,
2019,-0.188167,0.019956,-0.011093,-0.000706,-0.000562,
2020,-0.188574,0.019529,-0.012017,-0.000765,-0.000589,
2021,-0.193667,0.088896,-0.012661,-0.000806,-0.000583,
2022,-0.193924,0.030321,-0.013305,-0.000847,-0.000577,
2023,-0.194180,0.021329,-0.013949,-0.000888,-0.000571,
2024,-0.194437,0.017227,-0.014593,-0.000929,-0.000565,
