"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.204453,0.116263,1.078521
1991,1.080627,0.115313,1.030656
1992,0.991092,0.105925,0.931106
1993,0.962501,0.113709,0.922992
1994,0.920258,0.112136,0.882715
1995,0.855877,0.115772,0.832236
1996,0.843911,0.120759,0.804804
1997,0.828510,0.115175,0.805431
1998,0.852742,0.118038,0.776072
1999,0.862314,0.121147,0.763168
2000,1.013235,0.136464,0.797320
2001,1.217074,0.161823,0.957310
2002,1.255671,0.169822,0.978925
2003,1.330661,0.175274,1.012591
2004,1.420104,0.185496,1.046321
2005,1.465961,0.201303,1.112305
2006,1.682007,0.213375,1.230692
2007,1.952970,0.240180,1.354961
2008,1.858823,0.228022,1.246011
2009,1.682676,0.203376,1.016097
2010,1.673847,0.217677,1.103313
2011,1.516457,0.176208,0.914033
2012,1.474366,0.179981,0.835215
2013,1.471092,0.197349,0.869342
2014,1.584904,0.218720,0.878997
2015,1.714097,0.239817,0.922496
2016,1.768321,0.251274,0.906473
2017,1.843689,0.260956,0.981193
2018,1.864420,0.259051,0.965249
2019,1.875879,0.263320,0.974782
2020,1.794030,0.257536,0.921862
2021,1.749141,0.267875,1.053501
2022,1.673097,0.267587,1.057502
2023,1.697248,0.285291,1.031814
2024,1.524660,0.269123,0.950255
