"Year","Public electricity and heat production","Pulp, paper and print","Residential","All others"
1990,0.015683,3.126508,0.721824,0.072048
1991,0.028751,3.122395,0.721824,0.072731
1992,0.031365,3.113733,0.721824,0.072876
1993,0.031365,3.362919,0.721824,0.072867
1994,0.031365,3.513966,0.721824,0.077205
1995,0.036333,3.632266,0.721824,0.078614
1996,0.042481,3.560243,0.730085,0.055876
1997,0.049806,3.648143,0.740331,0.044742
1998,0.041433,3.503742,0.751393,0.051372
1999,0.045652,3.923237,0.761132,0.037917
2000,0.045132,4.133365,0.772496,0.030591
2001,0.042515,4.060611,0.782122,0.033610
2002,0.048151,4.335612,0.779280,0.047692
2003,0.064072,4.188849,0.779299,0.054312
2004,0.075980,4.612824,0.780811,0.050743
2005,0.079507,4.601959,0.781286,0.055287
2006,0.092026,4.604713,0.778733,0.062345
2007,0.090975,4.595801,0.777143,0.061670
2008,0.087668,4.263155,0.774663,0.063815
2009,0.092175,3.980019,0.769319,0.067059
2010,0.095126,4.356676,0.762905,0.073345
2011,0.099398,4.358869,0.756367,0.071818
2012,0.095920,4.381665,0.749419,0.076631
2013,0.089087,4.246633,0.743728,0.063378
2014,0.103059,4.208481,0.727985,0.066014
2015,0.110539,4.321479,0.713316,0.069738
2016,0.113658,4.368292,0.698870,0.074503
2017,0.121930,4.245608,0.684952,0.066228
2018,0.123206,4.167086,0.670168,0.065794
2019,0.126865,4.034134,0.665802,0.068378
2020,0.131450,3.655371,0.665802,0.075785
2021,0.125917,3.945263,0.665802,0.071952
2022,0.129261,3.867024,0.665802,0.068608
2023,0.143054,3.290787,0.665802,0.071073
2024,0.150215,1.639179,0.665802,0.063838
