"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.175034,,-0.046949,-1.611350,
1991,-0.879296,,-0.046978,-1.611938,
1992,-1.834128,,-0.047006,-1.612526,
1993,-2.183740,,-0.047035,-1.613114,
1994,-2.959497,,-0.047064,-1.613702,
1995,-3.879809,,-0.047093,-1.614290,
1996,-2.411419,,-0.050439,-1.575862,
1997,-2.624146,,-0.053786,-1.537433,
1998,-3.382076,,-0.057132,-1.499005,
1999,-2.979810,,-0.060478,-1.460577,
2000,-0.680706,,-0.063824,-1.422148,
2001,-3.387652,,-0.067180,-1.383570,
2002,-3.791857,,-0.070536,-1.344991,
2003,-2.721228,,-0.073891,-1.306413,
2004,-1.396152,,-0.077247,-1.267834,
2005,-1.683880,,-0.080602,-1.229255,
2006,0.182891,,-0.083958,-1.190677,
2007,-0.029134,,-0.087353,-1.152227,
2008,-2.488510,,-0.085645,-1.075494,
2009,-3.438701,,-0.083936,-0.998761,
2010,-3.403710,,-0.082227,-0.922028,
2011,-1.594908,,-0.080325,-0.839168,
2012,-1.926730,,-0.078422,-0.756308,
2013,-2.094532,,-0.076448,-0.673017,
2014,-1.382163,,-0.074474,-0.589726,
2015,-1.101832,,-0.072500,-0.506436,
2016,-1.207657,,-0.066781,-0.464942,
2017,-0.595993,,-0.061063,-0.423449,
2018,-1.057127,,-0.055344,-0.381955,
2019,-0.913632,,-0.049626,-0.340462,
2020,-1.776858,,-0.043907,-0.298969,
2021,0.494029,,-0.038179,-0.257626,
2022,0.605989,,-0.032451,-0.216283,
2023,-0.638316,,-0.026723,-0.174939,
2024,-1.155614,,-0.020996,-0.133596,
