"Year","Coal","Natural gas","Hydro","Wind","Solar"
2017,1.984026,6.097437,-9.304177,-0.230634,0.120942
2018,-2.553544,-3.151698,6.035914,0.409348,0.012470
2019,-6.177379,1.751628,-3.351073,1.054347,0.336564
2020,-3.065270,0.433991,3.326158,-1.360529,0.373893
2021,-1.525625,-1.927226,-0.139968,0.858382,0.521549
2022,0,1.754042,-4.589242,0.088494,1.281934
2023,0,-6.818476,5.997583,-0.110421,1.579583
2024,0,-4.681634,3.691696,1.258764,1.934214
2025,0,3.569968,0.268748,-0.695910,1.764771
2026,0,0.109509,0.499588,0.138129,-0.077832
