"YYYYMM","FGD installed","Bid awarded","In tendering process","Pre-tender"
201912,2,75,,185
202001,2,80,,174
202002,2,82,,174
202007,4,100,,137
202012,6,149,,124
202102,6,149,,117
202108,6,151,,111
202109,6,151,,109
202110,6,151,,108
202112,6,151,,110
202205,20,175,160,170
202207,20,190,165,152
202208,20,190,165,152
202209,21,189,180,145
202210,21,197,175,146
202211,21,197,175,146
202212,21,224,154,139
202301,22,219,156,140
202302,22,219,156,140
202303,22,219,157,137
202304,22,219,168,124
202305,22,219,168,124
202306,22,219,168,122
202307,23,218,168,122
202308,23,221,165,122
202309,23,221,165,122
202310,24,227,158,122
202311,24,227,158,122
202408,39,238,139,121
