"YYYYMM","FGD installed","Bid awarded","In tendering process","Pre-tender"
201912,1.320000,33.840000,,64.057000
202001,1.320000,37.220000,,60.237000
202002,1.320000,38.270000,,57.867000
202007,1.740000,46.300000,,43.305000
202012,2.160000,66.500000,,38.435000
202102,2.160000,66.500000,,36.485000
202108,2.160000,67.100000,,35.045000
202109,2.160000,67.100000,,33.845000
202110,2.160000,67.100000,,33.635000
202112,2.160000,67.100000,,34.835000
202205,8.290000,76.560000,60.237000,53.803500
202207,8.290000,85.740000,61.937000,44.748500
202208,8.290000,85.740000,61.937000,44.748500
202209,8.780000,85.250000,64.947000,43.388500
202210,8.780000,88.690000,63.317000,42.628500
202211,8.780000,88.690000,63.317000,42.628500
202212,8.780000,103.410000,51.017000,40.478500
202301,9.280000,100.430000,52.217000,41.548500
202302,9.280000,100.430000,52.217000,41.548500
202303,9.280000,100.430000,52.547000,41.112500
202304,9.280000,100.430000,54.967000,38.472500
202305,9.280000,100.430000,54.967000,38.472500
202306,9.280000,100.430000,54.967000,38.052500
202307,9.940000,99.770000,54.967000,38.052500
202308,9.940000,100.520000,54.217000,38.052500
202309,9.940000,100.520000,54.217000,38.052500
202310,10.600000,102.960000,51.117000,38.052500
202311,10.600000,102.960000,51.117000,38.052500
202408,19.430000,105.200000,42.847000,36.683000
