"YYYYMM","Hydro","Coal/Lignite","Gas","Diesel","Nuclear","RES","Small hydro","Wind","Biomass","Waste","Solar"
194712,508,756,0,98,0,0,,,,,
195012,560,1004,0,149,0,0,,,,,
195603,1061,1597,0,228,0,0,,,,,
196103,1917,2436,0,300,0,0,,,,,
196603,4124,4417,134,352,0,0,,,,,
196903,5907,6640,134,276,0,0,,,,,
197403,6966,8652,165,241,640,0,,,,,
197903,10833,14875,168,164,640,0,,,,,
198003,11384,15991,268,165,640,0,,,,,
198503,14460,26311,542,177,1095,0,,,,,
199003,18307,41236,2343,165,1565,0,,,,,
199203,19194,44791,3095,168,1785,32,,,,,
199703,21658,54154,6562,294,2225,902,,,,,
200112,,,,,,,,1456,,,
200203,26269,62131,11163,1135,2720,1628,,,,,
200212,,,,,,,,1702,,,
200312,,,,,,,,2125,,,
200412,,,,,,,,3000,,,
200512,,,,,,,,4430,,,
200601,32135.050000,68433.080000,12662.610000,1201.750000,3310,6158.320000,,,,,
200602,32135.050000,68433.080000,12662.610000,1201.750000,3310,6158.320000,,,,,
200603,32325.770000,68518.880000,12689.910000,1201.750000,3360,6190.860000,,,,,
200604,32325.770000,68518.880000,12704.710000,1201.750000,3360,6190.860000,,,,,
200605,32325.770000,68488.880000,12704.710000,1201.750000,3360,6190.860000,,,,,
200606,32725.770000,68488.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200607,32975.770000,68988.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200608,33130.770000,68988.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200609,33349.770000,69198.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200610,33599.770000,69198.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200611,33599.770000,69198.880000,13581.710000,1201.750000,3900,6190.860000,,,,,
200612,33641.770000,69236.380000,13581.710000,1201.750000,3900,6190.860000,,6270,,,
200701,33941.770000,69366.380000,13581.710000,1201.750000,3900,6190.860000,,,,,
200702,34085.770000,69621.380000,13581.710000,1201.750000,3900,6190.860000,,,,,
200703,34653.770000,71121.380000,13691.710000,1201.750000,3900,7760.600000,,,,,
200704,34653.770000,70682.380000,13691.710000,1201.750000,4120,7760.600000,,,,,
200705,33485.760000,71432.380000,13691.710000,1201.750000,4120,10145.030000,,,,,
200706,33485.760000,71932.380000,13801.710000,1201.750000,4120,10175.030000,,,,,
200707,33775.760000,71932.380000,13801.710000,1201.750000,4120,10175.030000,,,,,
200708,34130.760000,71932.380000,13841.710000,1201.750000,4120,10175.030000,,,,,
200709,34260.760000,72182.380000,13841.710000,1201.750000,4120,10175.030000,,,,,
200710,34390.760000,72432.380000,14581.710000,1201.750000,4120,10175.030000,,,,,
200711,34680.760000,73492.380000,14581.710000,1201.750000,4120,10175.030000,,,,,
200712,34680.760000,74752.380000,14691.710000,1201.750000,4120,10855.240000,,,,,
200801,35208.760000,75002.380000,14691.710000,1201.750000,4120,10855.240000,,,,,
200802,35378.760000,75252.380000,14691.710000,1201.750000,4120,10855.240000,,,,,
200803,35908.760000,76048.880000,14656.210000,1201.750000,4120,11125.410000,2045.070000,7666.840000,1325.630000,85.750000,
200804,35908.760000,76298.880000,14656.210000,1201.750000,4120,11125.410000,,,,,
200805,36033.760000,76298.880000,14716.010000,1201.750000,4120,12194.570000,,,,,
200806,36033.760000,76648.880000,14716.010000,1199.750000,4120,12194.570000,,,,,
200807,36158.760000,77198.880000,14716.010000,1199.750000,4120,12194.570000,,,,,
200808,36197.760000,77198.880000,14716.010000,1199.750000,4120,12194.570000,,,,,
200809,36347.760000,76988.880000,14704.010000,1199.750000,4120,12194.570000,,,,,
200810,36497.760000,76988.880000,14704.010000,1199.750000,4120,13242.410000,,,,,
200811,36647.760000,76988.880000,14704.010000,1199.750000,4120,13242.410000,,,,,
200812,36647.760000,77458.880000,14734.010000,1199.750000,4120,13242.410000,,,,,
200901,36762.760000,77398.880000,14734.010000,1199.750000,4120,13242.410000,,,,,
200902,36877.760000,77398.880000,14876.710000,1199.750000,4120,13242.410000,,,,,
200903,36877.760000,77648.880000,14876.610000,1199.750000,4120,13242.410000,2160.480000,9344.130000,1650.430000,85.250000,
200904,36877.760000,77948.880000,14876.610000,1199.750000,4120,13242.410000,,,,,
200905,36877.760000,77948.880000,16003.110000,1199.750000,4120,13242.410000,,,,,
200906,36916.760000,78458.880000,16385.610000,1199.750000,4120,13242.410000,,,,,
200907,36916.760000,79208.880000,16385.610000,1199.750000,4120,13242.410000,,,,,
200908,36916.760000,80283.880000,16385.610000,1199.750000,4120,13242.410000,,,,,
200909,36885.400000,80395.880000,16448.850000,1199.750000,4120,13310.210000,,,,,
200910,36885.400000,81355.880000,16822.850000,1199.750000,4120,13310.210000,,,,,
200911,36885.400000,81605.880000,16822.850000,1199.750000,4120,15225.350000,,,,,
200912,36885.400000,81605.880000,17055.850000,1199.750000,4120,15225.350000,,,,,
201001,36885.400000,82095.880000,17055.850000,1199.750000,4120,15427.100000,,,,,
201002,36863.400000,82343.380000,17055.850000,1199.750000,4340,15427.100000,,,,,
201003,36863.400000,84198.380000,17055.850000,1199.750000,4560,15521.110000,2604.920000,10647.450000,2167.730000,95.010000,11
201004,36863.400000,84448.380000,17055.850000,1199.750000,4560,15521.110000,,,,,
201005,36913.400000,85193.380000,17055.850000,1199.750000,4560,16429.420000,,,,,
201006,36953.400000,86003.380000,17220.850000,1199.750000,4560,16429.420000,,,,,
201007,37033.400000,87093.380000,17353.850000,1199.750000,4560,16429.420000,,,,,
201008,37086.400000,87858.380000,17374.850000,1199.750000,4560,16429.420000,,,,,
201009,37328.400000,87943.380000,17374.850000,1199.750000,4560,16429.420000,,,,,
201010,37328.400000,89778.380000,17624.850000,1199.750000,4560,16786.980000,,,,,
201011,37367.400000,89778.380000,17384.850000,1199.750000,4560,16786.980000,,,,,
201012,37367.400000,92378.380000,17456.350000,1199.750000,4560,16786.980000,,,,,
201101,37367.400000,92638.380000,17456.350000,1199.750000,4780,16786.980000,,,,,
201102,37367.400000,92418.380000,17706.350000,1199.750000,4780,18454.520000,,,,,
201103,37567.400000,93918.380000,17706.350000,1199.750000,4780,18454.520000,2913,12806.540000,2600.130000,102.460000,36
201104,37567.400000,94653.380000,17706.350000,1199.750000,4780,18454.520000,,,,,
201105,37817.400000,94953.380000,17706.350000,1199.750000,4780,18454.520000,,,,,
201106,38106.400000,96743.380000,17706.350000,1199.750000,4780,18454.520000,,,,,
201107,38106.400000,98403.380000,17706.350000,1199.750000,4780,20162.240000,,,,,
201108,38206.400000,99503.380000,17706.350000,1199.750000,4780,20162.240000,,,,,
