"YYYYMM","Linkage","Domestic"
80401,,
80402,,
80403,,
80404,,
80405,,
80406,,
80407,,
80408,,
80409,,
80410,,
80411,,
80412,,
80413,,
80414,,
80415,,
80416,,
80417,,
80418,,
80419,,
80420,,
80421,,
80422,,
80423,,
80424,,
80425,,
80426,,
80427,,
80428,,
80429,,
80430,,
80501,,
80502,,
80503,,
80504,,
80505,,
80506,,
80507,,
80508,,
80509,,
80510,,
80511,,
80512,,
80513,,
80514,,
80515,,
80516,,
80517,,
80518,,
80519,,
80520,,
80521,,
80522,,
80523,,
80524,,
80525,,
80526,,
80527,,
80528,,
80529,,
80530,,
80531,,
80601,,
80602,,
80603,,
80604,,
80605,,
80606,,
80607,,
80608,,
80609,,
80610,,
80611,,
80612,,
80613,,
80614,,
80615,,
80616,,
80617,,
80618,,
80619,,
80620,,
80621,,
80622,,
80623,,
80624,,
80625,,
80626,,
80627,,
80628,,
80629,,
80630,,
80701,,
80702,,
80703,,
80704,,
80705,,
80706,,
80707,,
80708,,
80709,,
80710,,
80711,,
80712,,
80713,,
80714,,
80715,,
80716,,
80717,,
80718,,
80719,,
80720,,
80721,,
80722,,
80723,,
80724,,
80725,,
80726,,
80727,,
80728,,
80729,,
80730,,
80731,,
80801,6.266580,
80802,6.229630,
80803,6.174490,
80804,6.091280,
80805,6.112760,
80806,6.053980,
80807,6.050410,
80808,6.032410,
80809,6.007630,
80810,6.009080,
80811,6.021920,
80812,6.011620,
80813,6.055880,
80814,6.111660,
80815,6.133010,
80816,6.139170,
80817,6.092380,
80818,6.007380,
80819,6.147950,
80820,6.163030,
80821,6.107410,
80822,6.103750,
80823,6.120330,
80824,6.085620,
80825,6.017290,
80826,5.996390,
80827,5.976180,
80828,5.983160,
80829,6.023680,
80830,6.106590,
80831,6.120090,
80901,6.029240,
80902,6.021600,
80903,6.020350,
80904,6.064410,
80905,6.060890,
80906,6.000660,
80907,5.976140,
80908,5.939900,
80909,5.925670,
80910,5.914810,
80911,5.876370,
80912,5.855810,
80913,5.822040,
80914,5.818750,
80915,5.797900,
80916,5.733540,
80917,5.636040,
80918,5.520620,
80919,5.471080,
80920,5.447700,
80921,5.403570,
80922,5.294110,
80923,5.263070,
80924,5.250200,
80925,5.262900,
