"yyyymmdd","NR: DemandMet","NR: PeakShortage","NR: EnergyMet","NR: HydroGen","NR: WindGen","NR: SolarGen","NR: EnergyShortage","NR: MaximumDemand","WR: DemandMet","WR: PeakShortage","WR: EnergyMet","WR: HydroGen","WR: WindGen","WR: SolarGen","WR: EnergyShortage","WR: MaximumDemand","SR: DemandMet","SR: PeakShortage","SR: EnergyMet","SR: HydroGen","SR: WindGen","SR: SolarGen","SR: EnergyShortage","SR: MaximumDemand","ER: DemandMet","ER: PeakShortage","ER: EnergyMet","ER: HydroGen","ER: WindGen","ER: SolarGen","ER: EnergyShortage","ER: MaximumDemand","NER: DemandMet","NER: PeakShortage","NER: EnergyMet","NER: HydroGen","NER: WindGen","NER: SolarGen","NER: EnergyShortage","NER: MaximumDemand","India: DemandMet","India: PeakShortage","India: EnergyMet","India: HydroGen","India: WindGen","India: SolarGen","India: EnergyShortage","India: MaximumDemand","NR: Thermal","NR: Coal","NR: Lignite","NR: Hydro","NR: Nuclear","NR: Gas","NR: RES","NR: Total","WR: Thermal","WR: Coal","WR: Lignite","WR: Hydro","WR: Nuclear","WR: Gas","WR: RES","WR: Total","SR: Thermal","SR: Coal","SR: Lignite","SR: Hydro","SR: Nuclear","SR: Gas","SR: RES","SR: Total","ER: Thermal","ER: Coal","ER: Lignite","ER: Hydro","ER: Nuclear","ER: Gas","ER: RES","ER: Total","NER: Thermal","NER: Coal","NER: Lignite","NER: Hydro","NER: Nuclear","NER: Gas","NER: RES","NER: Total","India: Thermal","India: Coal","India: Lignite","India: Hydro","India: Nuclear","India: Gas","India: RES","India: Total","Punjab: EnergyMet","Haryana: EnergyMet","Rajasthan: EnergyMet","Delhi: EnergyMet","UP: EnergyMet","Uttarakhand: EnergyMet","HP: EnergyMet","J&K(UT) & Ladakh(UT): EnergyMet","Chandigarh: EnergyMet","Chhattisgarh: EnergyMet","Gujarat: EnergyMet","MP: EnergyMet","Maharashtra: EnergyMet","Goa: EnergyMet","DD: EnergyMet","DNH: EnergyMet","Essar steel: EnergyMet","Andhra Pradesh: EnergyMet","Karnataka: EnergyMet","Kerala: EnergyMet","Tamil Nadu: EnergyMet","Puducherry: EnergyMet","Bihar: EnergyMet","DVC: EnergyMet","Jharkhand: EnergyMet","Odisha: EnergyMet","West Bengal: EnergyMet","Sikkim: EnergyMet","Arunachal Pradesh: EnergyMet","Assam: EnergyMet","Manipur: EnergyMet","Meghalaya: EnergyMet","Mizoram: EnergyMet","Nagaland: EnergyMet","Tripura: EnergyMet","Telangana: EnergyMet","AMNSIL: EnergyMet","DNHDDPDCL: EnergyMet","BALCO: EnergyMet","Railways_NR ISTS: EnergyMet","Railways_ER ISTS: EnergyMet","RIL JAMNAGAR: EnergyMet"
20130102,36462,2049,766,99,15,,,,38019,177,871,51,30,,,,32126,1652,739,74,21,,,,15083,600,287,16,,,,,1797,286,32,7,,,,,123487,4764,2694,247,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.400000,104.600000,189,65,214.900000,33,25,38.400000,3.800000,64.200000,237.500000,173.400000,361.700000,8.400000,5.300000,13.800000,6,253,174.600000,57.700000,247.700000,5.700000,40.500000,57.900000,21.400000,64.400000,101.400000,1.700000,1.700000,17.500000,1.700000,4.900000,1.200000,1.600000,2.900000,0,0,0,0,0,0,0
20130103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
20130121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
