"yymmdd","Raw","Processed"
80101,"NaN","NaN"
80102,"NaN","NaN"
80103,"NaN","NaN"
80104,"NaN","NaN"
80105,"NaN","NaN"
80106,"NaN","NaN"
80107,"NaN","NaN"
80108,"NaN","NaN"
80109,"NaN","NaN"
80110,"NaN","NaN"
80111,"NaN","NaN"
80112,"NaN","NaN"
80113,"NaN","NaN"
80114,"NaN","NaN"
80115,"NaN","NaN"
80116,"NaN","NaN"
80117,"NaN","NaN"
80118,"NaN","NaN"
80119,"NaN","NaN"
80120,"NaN","NaN"
80121,"NaN","NaN"
80122,"NaN","NaN"
80123,"NaN","NaN"
80124,"NaN","NaN"
80125,"NaN","NaN"
80126,"NaN","NaN"
80127,"NaN","NaN"
80128,"NaN","NaN"
80129,"NaN","NaN"
80130,"NaN","NaN"
80131,"NaN","NaN"
80201,"NaN","NaN"
80202,"NaN","NaN"
80203,"NaN","NaN"
80204,"NaN","NaN"
80205,"NaN","NaN"
80206,"NaN","NaN"
80207,"NaN","NaN"
80208,"NaN","NaN"
80209,"NaN","NaN"
80210,"NaN","NaN"
80211,"NaN","NaN"
80212,"NaN","NaN"
80213,"NaN","NaN"
80214,"NaN","NaN"
80215,"NaN","NaN"
80216,"NaN","NaN"
80217,"NaN","NaN"
80218,"NaN","NaN"
80219,"NaN","NaN"
80220,"NaN","NaN"
80221,"NaN","NaN"
80222,"NaN","NaN"
80223,"NaN","NaN"
80224,"NaN","NaN"
80225,"NaN","NaN"
80226,"NaN","NaN"
80227,"NaN","NaN"
80228,"NaN","NaN"
80229,"NaN","NaN"
80301,"NaN","NaN"
80302,"NaN","NaN"
80303,"NaN","NaN"
80304,"NaN","NaN"
80305,"NaN","NaN"
80306,"NaN","NaN"
80307,"NaN","NaN"
80308,"NaN","NaN"
80309,"NaN","NaN"
80310,"NaN","NaN"
80311,"NaN","NaN"
80312,"NaN","NaN"
80313,"NaN","NaN"
80314,"NaN","NaN"
80315,"NaN","NaN"
80316,"NaN","NaN"
80317,"NaN","NaN"
80318,"NaN","NaN"
80319,"NaN","NaN"
80320,"NaN","NaN"
80321,"NaN","NaN"
80322,"NaN","NaN"
80323,"NaN","NaN"
80324,"NaN","NaN"
80325,"NaN","NaN"
