"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.278061,3.783886,541151.484860,17126298
1991,0.279437,3.758183,543390.663430,17353193
1992,0.284433,3.817513,565308.690940,17549288
1993,0.288780,3.903994,587810.654240,17722911
1994,0.293613,4.051985,610346.318930,17897433
1995,0.304962,4.155476,633871.629260,18095344
1996,0.311851,4.277293,658645.176460,18305307
1997,0.320243,4.382237,689035.141120,18504912
1998,0.334038,4.486790,723050.565490,18701717
1999,0.343876,4.670450,751339.396790,18909981
2000,0.349898,4.698934,766653.953340,19132471
2001,0.357668,4.735387,797431.480120,19365433
2002,0.362425,4.830282,822234.192030,19595355
2003,0.370784,4.899104,856812.814280,19819454
2004,0.382005,5.055999,883890.998270,20046677
2005,0.385081,5.077261,907993.764090,20294490
2006,0.391373,5.295016,942211.395840,20590559
2007,0.398896,5.422201,975914.437210,20954549
2008,0.404279,5.514284,994133.120970,21370589
2009,0.406977,5.434360,1015729.043600,21783011
2010,0.405026,5.431817,1040814.973800,22141581
2011,0.403874,5.610968,1081587.469000,22479775
2012,0.405005,5.530007,1109711.034900,22852644
2013,0.397850,5.600110,1138152.169100,23236270
2014,0.392610,5.639249,1162875.164200,23595601
2015,0.400589,5.765853,1194757.050900,23948002
2016,0.409666,5.784800,1222187.799500,24329963
2017,0.413408,5.767301,1257276.474500,24731038
2018,0.414781,5.853269,1283844.605800,25119706
2019,0.414925,6.049054,1283795.349700,25482714
2020,0.398547,5.707483,1302733.422400,25743791
2021,0.388472,5.721563,1363937.855900,25956417
2022,0.384078,5.978843,1420692.402700,26200984
2023,0.384316,5.966556,1455572.648800,26451124
2024,0.386732,6.019611,1488669.382100,26713205
