"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-11.580304,-8.792167,-2.906015,9.171801,0.085891
1991,-8.859324,-11.672650,-5.231571,11.463985,0.106688
1992,-9.934276,-9.784649,-6.058667,6.610465,0.073258
1993,-15.017263,-5.498306,-3.798094,0.030491,0.013055
1994,-18.123290,-3.267196,-3.643499,7.529278,0.070012
1995,-19.937880,-6.599381,-4.843976,5.497254,0.019463
1996,-18.976086,-4.038735,-2.896411,1.540129,0.112041
1997,-34.863535,-2.752252,-5.327493,2.584546,-0.004789
1998,-31.780872,-4.864933,-3.196099,7.700770,0.062127
1999,-35.373994,-4.613275,-5.781036,7.872581,0.202396
2000,-28.583796,-2.926270,-1.517755,7.321433,0.117083
2001,-25.749709,-9.136070,-3.352701,9.151870,0.131970
2002,-27.654698,-5.881822,-2.921283,2.875360,-0.055781
2003,-25.304972,-9.081777,-5.097729,2.492873,-0.087921
2004,-34.331378,-5.568088,-7.548540,-1.028233,0.037431
2005,-30.786823,-7.780626,-2.428363,-2.237166,-0.034775
2006,-33.462901,-3.876503,-6.414789,-0.761050,0.078355
2007,-37.404592,-0.613846,-3.175115,1.504072,-0.060672
2008,-31.775510,0.288572,-1.854185,4.533444,0.015638
2009,-39.941891,2.669319,-1.793885,17.334357,-0.007815
2010,-44.602880,0.592044,-4.554564,26.901246,0.134974
2011,-65.690641,8.395466,-1.738032,26.172247,0.302104
2012,-62.971679,1.895946,-0.831054,25.012988,0.015730
2013,-66.351720,-1.250602,-2.121262,25.842709,-0.125305
2014,-66.788407,0.129838,-2.772470,11.126671,-0.017496
2015,-60.878795,-2.360436,-3.382105,6.952548,-0.177942
2016,-86.134181,-4.937475,-3.921429,5.752790,-0.188630
2017,-73.562099,-6.567786,-6.812623,-1.525256,0.026989
2018,-74.337983,-11.580035,-5.531765,-4.523300,-0.067667
2019,-63.913378,-9.174121,-3.282433,-0.254510,-0.227948
2020,-74.556165,-9.195123,-4.609251,7.100495,-0.155724
2021,-93.444537,-1.331930,-0.188386,8.726665,-0.039439
2022,-94.874631,-0.691047,0.526511,19.869696,-0.094824
2023,-88.663453,-1.455782,-0.649472,20.794209,-0.094824
2024,-85.205843,-5.540607,0.792715,20.719586,-0.094824
