"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1994,422.948025,145.475932,46.196124,176.131706,55.144262,,,
2003,4.892375,0.041007,0.064520,4.762489,0.024359,,,
2006,2.890739,0.017347,,2.796915,0.076478,,,
2009,2.677826,0.033681,,2.624886,0.019260,,,
2012,567.297751,54.326397,,506.331216,6.640138,,,
2015,820.975980,111.633112,,701.847572,7.495296,,,
2017,823.134883,133.992021,,681.249331,7.893530,,,
2018,829.866441,86.420604,,615.700601,127.745237,,,
2019,849.912531,151.260893,,547.840017,150.811621,,,
2020,684.204143,56.691476,44.141244,474.973768,108.397655,,,
2021,714.796723,62.728634,51.914004,468.186343,131.967742,,,
2022,722.788764,53.626235,,508.354716,160.807813,,,
