"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2016,-14.368767,0.435881,8.352000,1.344998,-0.409997,-0.300003
2017,8.547017,10.785957,-18.472000,-0.559999,0.216998,0.727002
2018,-7.363577,-5.877833,15.462000,-2.306000,1.725000,-1.554000
2019,-23.407751,25.280245,-9.759000,2.590000,4.635000,2.269000
2020,-7.536459,-13.471085,7.002000,-0.067000,0.778000,5.565000
2021,-0.126728,1.730184,-1.130000,-1.716000,5.481000,6.352000
2022,2.603767,14.162492,-10.561000,1.943000,0.704000,8.592000
2023,-4.103850,-21.059763,8.848000,-1.674000,1.450634,12.685000
2024,-1.000124,-12.315621,9.554367,-2.157424,-1.641422,7.832728
2025,-0.126225,7.160821,0.175914,0.487355,-2.943126,2.987014
