"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1988,-37.311359,,,-9.842358,0.776961
1990,-33.698670,,,-9.202285,0.783448
1991,-22.641066,,,-8.758623,0.786692
1992,-11.598969,,,-8.402080,0.789936
1993,-16.599056,,,-8.471018,0.793180
1994,-31.527491,,,-7.929387,0.796424
1995,-53.264739,,,-7.592378,0.799668
1996,-50.502310,,,-7.746257,0.802912
1997,-53.599025,,,-7.379597,0.806156
1998,-42.400351,,,-7.317141,0.809400
1999,-38.611793,,,-7.855190,0.812644
2000,-34.679172,,,-7.732638,0.815888
2001,-26.503377,,,-7.752977,0.817254
2002,-34.363907,,,-7.846024,0.818620
2003,-35.657228,,,-8.416864,0.819985
2004,-45.804870,,,-9.224271,0.821351
2005,-45.650136,,,-9.674329,0.822717
2006,-45.934809,,,-9.991037,0.824083
2007,-32.134333,,,-10.036429,0.827107
2008,-32.614823,,,-10.129325,0.830131
2009,-40.321252,-1.233840,,-10.678245,0.833155
2010,-47.168951,-1.241230,,-11.238633,0.836179
2011,-42.535412,0.132464,,-11.459787,0.839202
2012,-45.425605,-0.769355,,-11.224786,0.842226
2013,-38.779637,-0.805924,,-11.586141,0.842367
2014,-31.780610,-1.456539,,-11.862837,0.842507
2015,-27.627162,-1.439528,,-11.651459,0.842647
2016,-34.292248,-6.021625,,-11.440231,0.842788
2017,-33.284406,-4.586651,,-11.217859,0.842928
2018,-34.301331,-2.781491,,-10.490934,0.843069
2019,-16.947991,-4.255524,,-10.323711,0.843209
2020,-18.793670,-4.485011,,-9.867603,0.843349
2021,-18.658319,-4.435266,,-9.358950,0.843490
2022,-31.569801,-5.523442,,-8.784274,0.843630
2023,-40.162930,-2.830892,,-8.040393,0.843770
2024,-23.091482,-5.619788,,-7.563230,0.852335
