"Year","Coal","Natural gas","Hydro","Wind","Solar"
2017,-0.276181,1.940431,0.178043,2.295594,0.041589
2018,0.489516,2.422917,-0.612951,-2.102513,0.135025
2019,-10.286494,2.095830,0.278939,2.289066,0.410185
2020,-10.080719,2.290838,0.228088,0.668423,1.247243
2021,19.277448,-1.274622,0.154223,0.429391,1.976532
2022,-3.263341,-4.145945,-0.059411,3.524149,4.375222
2023,-23.719542,4.746162,0.608457,4.414455,2.797419
2024,-4.569620,3.682840,-0.567668,0.758101,6.555671
2025,-3.534954,4.705203,-0.407416,-0.843459,6.026319
2026,0.456656,0.686214,-0.018409,-0.688038,0.019151
