"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.000013,,,,
1991,-0.000013,,,,
1992,-0.000012,,,,
1993,-0.000012,,,,
1994,-0.000011,,,,
1995,-0.000011,,,,
1996,-0.000010,,,,
1997,-0.000010,,,,
1998,-0.000009,,,,
1999,-0.000009,,,,
2000,-0.000008,,,,
2001,-0.000008,,,,
2002,-0.000008,,,,
2003,-0.000008,,,,
2004,-0.000009,,-0.000072,,
2005,-0.000009,,-0.000072,,
2006,-0.000010,,-0.000072,,
2007,-0.000010,,-0.000072,,
2008,-0.000011,,-0.000072,,
2009,-0.000011,,-0.000072,,
2010,-0.000012,,-0.000072,,
2011,-0.000012,,-0.000072,,
2012,-0.000013,,-0.000072,,
2013,-0.000013,,-0.000072,,
2014,-0.000014,,-0.000072,,
2015,-0.000015,,-0.000093,,
2016,-0.000015,,-0.000093,,
2017,-0.000016,,-0.000093,,
2018,-0.000019,,-0.000093,,
2019,-0.000023,,-0.000093,,
2020,-0.000029,,-0.000093,,
2021,-0.000033,,-0.000093,,
2022,-0.000038,,-0.000093,,
2023,-0.000043,,-0.000093,,
