"Year","AUT production EXIOBASE 3.8.2","AUT production WIOD2016","AUT production OECDv2","AUT production Eora 199.082 (2023)","AUT production FIGARO April 2022","AUT production GCB 2023v26","AUT production Eurostat NAMEA"
1970,,,,58.400000,,,
1971,,,,59.900000,,,
1972,,,,65,,,
1973,,,,68.900000,,,
1974,,,,66.700000,,,
1975,,,,62.800000,,,
1976,,,,67.400000,,,
1977,,,,64.900000,,,
1978,,,,66.200000,,,
1979,,,,70.900000,,,
1980,,,,61.200000,,,
1981,,,,64.500000,,,
1982,,,,61.600000,,,
1983,,,,60.300000,,,
1984,,,,63.600000,,,
1985,,,,62.300000,,,
1986,,,,62.200000,,,
1987,,,,65.800000,,,
1988,,,,62.200000,,,
1989,,,,62,,,
1990,,,,63.800000,,62.167160,
1991,,,,67.200000,,65.765656,
1992,,,,61.500000,,60.266150,
1993,,,,61.900000,,60.692128,
1994,,,,62.300000,,61.066643,
1995,57.156696,,59.296124,65.400000,,64.044059,
1996,61.376317,,63.174378,69,,67.388555,
1997,60.648164,,62.456672,69,,67.285126,
1998,61.857442,,62.791849,68.600000,,66.920030,
1999,60.272457,,61.444486,66.900000,,65.671311,
2000,60.186964,73.010633,61.794405,67.600000,,66.171720,
2001,64.098807,77.988035,65.926566,71.600000,,70.171319,
2002,64.231416,80.547922,67.482602,73.500000,,71.974937,
2003,68.739486,84.929176,72.648908,79.200000,,77.401893,
2004,71.271658,82.740280,73.719040,79.100000,,77.699208,
2005,71.864947,84.294121,74.653208,80.800000,,79.097399,
2006,69.899323,80.342478,72.443444,78.600000,,76.817414,
2007,68.242203,79.162582,70.177556,75.800000,,74.117796,
2008,68.480403,71.406412,70.881482,74.900000,,73.495466,71.337341
2009,62.663106,65.430758,63.959750,68.600000,,67.315330,65.328776
2010,68.556533,70.131913,69.404480,73.200000,69.243473,72.017323,69.559997
2011,66.087600,68.446177,67.514288,71.200000,66.924261,69.909258,67.130642
2012,64.438112,62.078656,,68.800000,63.364350,67.282920,63.516169
2013,64.841094,61.555341,,69.200000,61.981334,67.776042,62.017183
2014,61.564773,57.324874,,65.500000,58.525076,64.175900,58.581184
2015,62.897953,,,67.800000,59.827798,66.365641,59.877209
2016,62.793712,,,68.300000,59.613889,67.226575,59.679439
2017,65.300154,,,71,62.822799,69.608667,62.889861
2018,64.240359,,,72.843600,60.317869,66.571892,60.364043
2019,65.869069,,,73.291570,63.791175,67.956158,63.850688
2020,64.039795,,,73.893620,56.230222,62.121251,57.137036
2021,63.797579,,,74.277720,,66.018632,61.058133
2022,64.493806,,,68.948700,,,
