"Year","BIH production Eora 199.082 (2023)","BIH consumption Eora 199.082 (2023)"
1970,16.100000,15.526900
1971,17.500000,16.534130
1972,16.900000,15.419780
1973,19.400000,17.692020
1974,19.500000,17.805790
1975,20,18.808760
1976,20.700000,19.816500
1977,19.800000,19.679350
1978,21.200000,20.985980
1979,22.800000,22.834660
1980,21.800000,21.840630
1981,24.300000,24.303250
1982,21.600000,21.522040
1983,24.100000,23.515210
1984,25.900000,25.083800
1985,26.100000,26.652270
1986,26.700000,23.725170
1987,26.400000,23.247180
1988,27,26.281240
1989,26.600000,27.601020
1990,26.700000,27.841350
1991,24.700000,25.605660
1992,8.860000,9.331319
1993,5.040000,1.092031
1994,5.400000,3.578072
1995,4.920000,5.342810
1996,6.810000,7.017944
1997,9.330000,9.253894
1998,13.100000,13.008960
1999,13.100000,13.107910
2000,14.300000,13.944540
2001,14.800000,14.736780
2002,15.600000,15.675280
2003,15.500000,15.847950
2004,16.500000,16.635820
2005,16.800000,15.242870
2006,17.900000,17.322900
2007,17.800000,17.359160
2008,19.700000,19.160770
2009,19.800000,19.246070
2010,20.200000,19.180570
2011,22.200000,20.814300
2012,20.500000,19.057420
2013,20.200000,18.716390
2014,22.500000,20.563100
2015,20.900000,19.472960
2016,21.800000,18.424250
2017,22.200000,18.342920
2018,23.187870,19.956510
2019,23.815160,20.131010
2020,24.423650,21.090060
2021,25.012780,20.959600
2022,25.749040,21.167580
