"Year","UZB production Eora 199.082 (2023)","UZB consumption Eora 199.082 (2023)","UZB net_trade Eora 199.082 (2023)"
1970,52.400000,2013.471000,1961.071000
1971,56.700000,3273.129000,3216.429000
1972,59.800000,5088.444000,5028.644000
1973,63,6369.942000,6306.942000
1974,66.100000,5823.470000,5757.370000
1975,70.300000,3636.432000,3566.132000
1976,74.200000,2325.598000,2251.398000
1977,77.700000,182.649500,104.949500
1978,81.500000,865.968000,784.468000
1979,83.600000,242.053000,158.453000
1980,87.300000,91.833180,4.533180
1981,90.400000,116.866800,26.466800
1982,92.900000,227.206200,134.306200
1983,95.800000,530.090100,434.290100
1984,98.300000,2013.355000,1915.055000
1985,105,119.119800,14.119800
1986,104,11832.060000,11728.060000
1987,112,12545.880000,12433.880000
1988,117,2923.925000,2806.925000
1989,116,134.980700,18.980700
1990,115,132.290100,17.290100
1991,115,114.861200,-0.138800
1992,108,487.874200,379.874200
1993,109,2743.332000,2634.332000
1994,104,1174.808000,1070.808000
1995,104,93.755080,-10.244920
1996,108,250.007000,142.007000
1997,106,94.153550,-11.846450
1998,103,94.378320,-8.621680
1999,107,99.861800,-7.138200
2000,112,99.721940,-12.278060
2001,112,94.575090,-17.424910
2002,116,97.352230,-18.647770
2003,112,93.677520,-18.322480
2004,109,91.086090,-17.913910
2005,106,88.723360,-17.276640
2006,109,94.030080,-14.969920
2007,108,93.553710,-14.446290
2008,118,100.903100,-17.096900
2009,111,100.499000,-10.501000
2010,106,95.801070,-10.198930
2011,109,97.526890,-11.473110
2012,109,98.729640,-10.270360
2013,99.100000,91.154100,-7.945900
2014,101,90.695470,-10.304530
2015,97,89.462740,-7.537260
2016,97.500000,88.972230,-8.527770
2017,101,85.263760,-15.736240
2018,96.230120,83.822780,-12.407340
2019,94.586950,82.311440,-12.275510
2020,92.459210,80.096420,-12.362790
2021,90.108510,77.235340,-12.873170
2022,88.237340,73.400200,-14.837140
