"Year","BRA production EXIOBASE 3.8.2","BRA production WIOD2016","BRA production OECDv2","BRA production Eora 199.082 (2023)","BRA production FIGARO April 2022","BRA production GCB 2023v26","BRA consumption EXIOBASE 3.8.2","BRA consumption WIOD2016","BRA consumption OECDv2","BRA consumption Eora 199.082 (2023)","BRA consumption FIGARO April 2022","BRA consumption GCB 2023v26"
1970,,,,116,,,,,,113.805900,,
1971,,,,121,,,,,,118.141000,,
1972,,,,136,,,,,,131.927400,,
1973,,,,151,,,,,,145.543100,,
1974,,,,158,,,,,,150.769000,,
1975,,,,163,,,,,,156.441800,,
1976,,,,168,,,,,,162.092100,,
1977,,,,177,,,,,,171.219500,,
1978,,,,188,,,,,,181.702600,,
1979,,,,202,,,,,,194.074800,,
1980,,,,201,,,,,,190.207100,,
1981,,,,184,,,,,,175.936800,,
1982,,,,179,,,,,,174.784900,,
1983,,,,172,,,,,,164.716900,,
1984,,,,186,,,,,,175.743000,,
1985,,,,196,,,,,,191.377400,,
1986,,,,213,,,,,,202.930600,,
1987,,,,220,,,,,,209.026800,,
1988,,,,223,,,,,,219.897600,,
1989,,,,226,,,,,,234.711100,,
1990,,,,225,,218.658000,,,,234.664400,,245.447016
1991,,,,238,,229.394000,,,,243.844500,,251.936879
1992,,,,239,,233.601000,,,,235.217500,,253.867379
1993,,,,250,,244.306000,,,,240.855600,,262.488254
1994,,,,261,,254.002000,,,,271.277300,,275.863179
1995,271.290812,,235.702405,279,,268.678000,280.984442,,253.397429,314.300700,,298.735578
1996,290.528608,,254.149556,300,,289.311000,297.838282,,275.513899,335.574100,,321.985143
1997,307.938137,,272.366129,319,,306.949000,320.350392,,292.523408,396.626000,,342.537567
1998,314.353399,,280.265499,330,,317.359000,323.504784,,300.048869,352.312800,,349.415150
1999,325.439552,,290.490362,340,,327.256000,312.022244,,290.404944,353.446800,,333.109456
2000,339.433786,360.456168,303.694245,358,,340.183000,325.532257,370.298927,310.412842,380.090600,,350.273217
2001,342.762892,367.611979,308.905704,362,,346.166000,318.952783,366.908706,305.910467,376.456600,,343.085412
2002,341.866615,368.341455,308.684738,361,,347.765000,292.888179,343.285247,288.420550,370.357900,,331.608238
2003,338.149734,365.836054,302.814009,363,,344.645000,283.780754,338.991184,278.171672,364.565200,,324.031651
2004,360.616566,379.720675,320.725202,377,,361.434000,300.428580,352.286433,290.801014,376.302200,,336.388883
2005,385.640927,373.801651,322.745361,384,,364.371000,332.756808,361.013738,303.509913,393.998500,,350.010570
2006,389.466935,379.404354,328.187831,387,,368.871000,353.040356,382.694927,322.931425,408.782800,,359.233585
2007,408.289097,399.822770,343.102226,406,,390.573000,387.573729,423.467195,353.136841,439.068700,,392.965820
2008,429.255648,416.536648,362.713772,426,,412.638000,436.753445,467.051934,394.462228,474.446700,,443.202756
2009,393.061647,397.775046,338.902518,404,,389.775000,399.583590,444.756710,367.061078,454.882800,,413.825487
2010,447.850635,454.077802,389.432065,452,451.880987,440.269000,474.961603,533.952307,444.633607,519.958600,589.677792,484.822998
2011,470.691072,480.506148,408.945862,473,471.822416,462.580000,512.730072,569.981326,467.130043,545.228800,620.261278,519.211365
2012,503.474346,512.050166,,504,506.621735,498.309000,534.521046,593.510254,,563.738400,640.581095,553.398036
2013,533.394212,545.109002,,536,532.588681,532.418000,572.289993,634.012769,,587.846800,679.357301,591.118622
2014,557.580735,572.372750,,556,559.582269,557.901000,586.820680,655.224491,,587.058800,700.226481,612.322101
2015,526.750299,,,536,528.793681,529.353000,504.076882,,,582.717900,599.688118,548.135757
2016,493.943456,,,504,493.690719,492.748000,479.076330,,,516.381100,552.144458,487.870822
2017,501.756099,,,510,504.802410,497.121362,498.308259,,,528.984500,561.627962,498.514303
2018,483.806494,,,533.621900,478.387011,477.998615,471.186804,,,535.597100,537.773048,478.330741
2019,480.956035,,,547.637500,478.143920,473.464387,472.564883,,,537.734100,548.187976,476.565431
2020,479.251375,,,567.739200,374.805686,444.504328,481.366957,,,570.660100,414.652074,427.563886
2021,522.523154,,,590.469700,,497.206335,520.154339,,,576.110400,,462.222688
2022,503.339374,,,605.955800,,,496.359339,,,580.826600,,
