"Year","ISR production OECDv2","ISR production Eora 199.082 (2023)","ISR production GCB 2023v26"
1970,,16.700000,
1971,,16.300000,
1972,,17,
1973,,19.300000,
1974,,19.500000,
1975,,19.700000,
1976,,19.700000,
1977,,20,
1978,,21.200000,
1979,,21,
1980,,21.100000,
1981,,21.100000,
1982,,23.900000,
1983,,23.700000,
1984,,23.500000,
1985,,24.800000,
1986,,26.500000,
1987,,27.300000,
1988,,29.900000,
1989,,31.500000,
1990,,36.700000,35.824360
1991,,37,36.148458
1992,,42.900000,42.082498
1993,,45.100000,44.234508
1994,,48.300000,47.474582
1995,46.047571,50.800000,49.865527
1996,48.033625,53,51.935752
1997,50.160644,55.800000,54.865705
1998,49.348136,57.800000,56.009768
1999,50.692427,56.600000,54.756050
2000,55.182725,61.900000,59.519380
2001,56.429136,65.300000,63.023569
2002,59.101539,61.500000,59.301358
2003,60.888288,65,62.414678
2004,61.298582,65.100000,58.679234
2005,59.855263,65.400000,56.524139
2006,61.978366,66.500000,62.148963
2007,64.308646,69.200000,62.799906
2008,64.465281,68.800000,67.980176
2009,63.787577,65.900000,63.860946
2010,67.984052,67.600000,68.286901
2011,67.168879,69.500000,68.594737
2012,,74.700000,74.784850
2013,,68.300000,63.095308
2014,,66.400000,60.282336
2015,,68.200000,62.939142
2016,,67.700000,61.160656
2017,,68.500000,58.841626
2018,,67.817390,59.985780
2019,,67.341360,58.659186
2020,,66.779800,55.697502
2021,,66.055750,54.804939
2022,,65.234110,
