"Year","SUR production Eora 199.082 (2023)","SUR consumption Eora 199.082 (2023)","SUR net_trade Eora 199.082 (2023)"
1970,1.740000,1.200257,-0.539743
1971,1.810000,0.983967,-0.826033
1972,1.820000,0.569978,-1.250022
1973,2.210000,0.789377,-1.420623
1974,1.700000,0.445697,-1.254303
1975,2.080000,1.312589,-0.767411
1976,2.080000,1.715392,-0.364608
1977,1.990000,2.461894,0.471894
1978,2.500000,2.966001,0.466001
1979,2.390000,3.340770,0.950770
1980,2.470000,3.739386,1.269386
1981,2.100000,3.413454,1.313454
1982,1.950000,2.675763,0.725763
1983,1.440000,1.346589,-0.093411
1984,1.600000,1.053902,-0.546098
1985,1.650000,2.476507,0.826507
1986,1.810000,-1.197591,-3.007591
1987,1.770000,-1.413347,-3.183347
1988,1.900000,1.171935,-0.728065
1989,1.910000,2.591772,0.681772
1990,1.830000,2.382322,0.552322
1991,2.110000,2.512669,0.402669
1992,2.130000,1.623093,-0.506907
1993,2.100000,-3.222085,-5.322085
1994,2.090000,-0.361485,-2.451485
1995,2.120000,1.920690,-0.199310
1996,2.140000,1.848852,-0.291148
1997,2.170000,2.017248,-0.152752
1998,2.160000,1.860780,-0.299220
1999,2.140000,1.779809,-0.360191
2000,2.230000,1.777507,-0.452493
2001,2.370000,1.972599,-0.397401
2002,1.570000,1.392068,-0.177932
2003,1.540000,1.506730,-0.033270
2004,1.560000,1.616809,0.056809
2005,1.600000,1.710682,0.110682
2006,1.750000,1.739986,-0.010014
2007,1.760000,1.780086,0.020086
2008,1.940000,2.007127,0.067127
2009,2,2.092555,0.092555
2010,2.400000,2.456304,0.056304
2011,1.970000,2.337187,0.367187
2012,2.250000,2.541157,0.291157
2013,1.910000,2.311035,0.401035
2014,1.980000,2.321644,0.341644
2015,2.340000,2.555345,0.215345
2016,2.460000,1.777449,-0.682551
2017,2.480000,1.662823,-0.817177
2018,2.559145,2.205149,-0.353996
2019,2.601478,2.270704,-0.330774
2020,2.647980,2.364276,-0.283704
2021,2.786304,2.386835,-0.399469
2022,2.242526,2.237644,-0.004882
