"Year","BDI production Eora 199.082 (2023)","BDI consumption Eora 199.082 (2023)","BDI net_trade Eora 199.082 (2023)"
1970,0.117000,-0.300429,-0.417429
1971,0.129000,-0.607828,-0.736828
1972,0.126000,-1.044054,-1.170054
1973,0.126000,-1.246931,-1.372931
1974,0.145000,-1.199614,-1.344614
1975,0.134000,-0.763166,-0.897166
1976,0.143000,-0.464687,-0.607687
1977,0.159000,0.242396,0.083396
1978,0.167000,0.186394,0.019394
1979,0.173000,0.658016,0.485016
1980,0.215000,0.800279,0.585279
1981,0.224000,0.790303,0.566303
1982,0.227000,0.351975,0.124975
1983,0.277000,-0.871035,-1.148035
1984,0.290000,-1.805192,-2.095192
1985,0.308000,1.275545,0.967545
1986,0.314000,-8.383869,-8.697869
1987,0.331000,-7.372768,-7.703768
1988,0.315000,-0.777201,-1.092201
1989,0.354000,0.694330,0.340330
1990,0.298000,0.575812,0.277812
1991,0.329000,0.600737,0.271737
1992,0.309000,-0.196230,-0.505230
1993,0.325000,-4.933234,-5.258234
1994,0.330000,-2.557582,-2.887582
1995,0.335000,0.498978,0.163978
1996,0.343000,0.280380,-0.062620
1997,0.351000,0.502174,0.151174
1998,0.352000,0.460858,0.108858
1999,0.357000,0.448996,0.091996
2000,0.377000,0.457811,0.080811
2001,0.313000,0.410632,0.097632
2002,0.319000,0.414730,0.095730
2003,0.272000,0.373581,0.101581
2004,0.312000,0.418923,0.106923
2005,0.272000,0.422506,0.150506
2006,0.309000,0.478382,0.169382
2007,0.317000,0.474660,0.157660
2008,0.325000,0.501328,0.176327
2009,0.324000,0.565396,0.241396
2010,0.350000,0.609582,0.259582
2011,0.374000,0.649087,0.275087
2012,0.412000,0.661049,0.249049
2013,0.421000,0.684044,0.263044
2014,0.578000,0.812342,0.234342
2015,0.612000,0.831792,0.219792
2016,0.609000,0.026436,-0.582564
2017,0.639000,-0.080631,-0.719631
2018,0.696625,0.979524,0.282899
2019,0.748496,1.076598,0.328102
2020,0.804741,1.165878,0.361137
2021,0.865182,1.189287,0.324105
2022,0.954273,1.256994,0.302721
