"Year","VUT production Eora 199.082 (2023)","VUT consumption Eora 199.082 (2023)","VUT net_trade Eora 199.082 (2023)"
1970,0.041500,-0.241220,-0.282720
1971,0.059900,-0.453149,-0.513049
1972,0.063600,-0.797499,-0.861099
1973,0.056300,-0.978809,-1.035109
1974,0.063600,-0.931000,-0.994600
1975,0.056400,-0.627169,-0.683569
1976,0.045400,-0.432825,-0.478225
1977,0.052800,0.066859,0.014059
1978,0.060200,0.031778,-0.028422
1979,0.063900,0.260213,0.196313
1980,0.063900,0.259985,0.196085
1981,0.052900,0.222763,0.169863
1982,0.053000,0.063493,0.010493
1983,0.056700,-0.289781,-0.346481
1984,0.056700,-0.566731,-0.623431
1985,0.123000,0.423403,0.300403
1986,0.060500,-2.186899,-2.247399
1987,0.049500,-2.502994,-2.552494
1988,0.067900,-0.597225,-0.665125
1989,0.064300,0.310529,0.246229
1990,0.068000,0.270108,0.202108
1991,0.068100,0.253097,0.184998
1992,0.064500,-0.341838,-0.406338
1993,0.064500,-3.254114,-3.318614
1994,0.064600,-1.847870,-1.912470
1995,0.068300,0.178260,0.109960
1996,0.086700,0.039979,-0.046721
1997,0.086800,0.189133,0.102333
1998,0.083100,0.148005,0.064905
1999,0.086800,0.155392,0.068592
2000,0.086900,0.125292,0.038392
2001,0.090600,0.160513,0.069913
2002,0.087000,0.159048,0.072048
2003,0.087100,0.169735,0.082635
2004,0.061400,0.160875,0.099475
2005,0.061500,0.172107,0.110607
2006,0.050500,0.172177,0.121677
2007,0.102000,0.214859,0.112859
2008,0.098300,0.236015,0.137715
2009,0.124000,0.259012,0.135012
2010,0.124000,0.269795,0.145795
2011,0.135000,0.292370,0.157370
2012,0.117000,0.263257,0.146257
2013,0.109000,0.260998,0.151998
2014,0.157000,0.286677,0.129677
2015,0.164000,0.289868,0.125868
2016,0.186000,-0.080729,-0.266730
2017,0.192000,-0.134467,-0.326467
2018,0.195977,0.302403,0.106426
2019,0.220054,0.320612,0.100558
2020,0.234584,0.335960,0.101376
2021,0.257506,0.348286,0.090780
2022,0.351503,0.422196,0.070693
