"Year","ANT production Eora 199.082 (2023)","ANT consumption Eora 199.082 (2023)","ANT net_trade Eora 199.082 (2023)"
1970,14.100000,11.430410,-2.669590
1971,12.300000,9.829520,-2.470480
1972,11.900000,9.380880,-2.519120
1973,13.200000,9.825117,-3.374883
1974,12,8.580817,-3.419183
1975,8.670000,6.242410,-2.427590
1976,18.500000,13.636110,-4.863890
1977,9.670000,7.658594,-2.011406
1978,8.240000,6.769025,-1.470975
1979,8.640000,7.331341,-1.308659
1980,8.890000,7.429579,-1.460421
1981,8.470000,7.291802,-1.178198
1982,9.470000,8.249246,-1.220754
1983,4.890000,4.623822,-0.266178
1984,12.100000,10.114040,-1.985960
1985,14.200000,12.872250,-1.327750
1986,3.090000,0.699910,-2.390090
1987,2.750000,0.031985,-2.718015
1988,2.710000,2.547160,-0.162840
1989,5.120000,5.943267,0.823267
1990,5.480000,5.909855,0.429855
1991,4.410000,4.782153,0.372153
1992,3.640000,3.391197,-0.248803
1993,5.600000,1.765389,-3.834611
1994,5.370000,3.106767,-2.263233
1995,5.310000,4.943153,-0.366847
1996,4.970000,4.439478,-0.530522
1997,5.200000,4.566090,-0.633910
1998,0.371000,0.960626,0.589626
1999,2.210000,2.282941,0.072941
2000,5.710000,4.673643,-1.036357
2001,5.810000,4.718971,-1.091029
2002,5.600000,4.594208,-1.005792
2003,5.610000,4.659135,-0.950865
2004,5.880000,4.818636,-1.061364
2005,5.830000,4.734500,-1.095500
2006,6.080000,4.726602,-1.353398
2007,6.830000,5.023094,-1.806906
2008,6.570000,4.876926,-1.693074
2009,6.720000,4.984463,-1.735537
2010,4.660000,3.747366,-0.912634
2011,5.920000,4.236028,-1.683972
2012,7.110000,4.989379,-2.120621
2013,6.360000,4.433248,-1.926752
2014,7.040000,4.791163,-2.248837
2015,7.190000,4.887240,-2.302760
2016,7.400000,7.614106,0.214106
2017,7.360000,8.421037,1.061037
2018,7.360000,8.216019,0.856019
2019,7.360000,7.910386,0.550386
2020,7.360000,7.837219,0.477219
2021,7.360000,7.824848,0.464848
2022,7.360000,7.729087,0.369087
