"Year","STP production Eora 199.082 (2023)","STP consumption Eora 199.082 (2023)","STP net_trade Eora 199.082 (2023)"
1970,0.016400,-0.182646,-0.199046
1971,0.012800,-0.341303,-0.354103
1972,0.012800,-0.581819,-0.594619
1973,0.016500,-0.785195,-0.801695
1974,0.020200,-0.823251,-0.843451
1975,0.020200,-0.563424,-0.583624
1976,0.031300,-0.391168,-0.422468
1977,0.031400,0.033332,0.001932
1978,0.035100,-0.013303,-0.048403
1979,0.035100,0.169408,0.134308
1980,0.042500,0.176772,0.134273
1981,0.046200,0.165315,0.119115
1982,0.050000,0.015031,-0.034969
1983,0.057300,-0.299475,-0.356775
1984,0.053700,-0.466052,-0.519752
1985,0.057400,0.233908,0.176508
1986,0.053800,-1.700200,-1.754000
1987,0.053900,-1.785505,-1.839405
1988,0.050300,-0.493551,-0.543851
1989,0.050300,0.264945,0.214645
1990,0.050400,0.217538,0.167138
1991,0.050400,0.208501,0.158101
1992,0.050500,-0.349990,-0.400490
1993,0.050500,-3.739829,-3.790329
1994,0.050600,-2.045911,-2.096511
1995,0.050600,0.144171,0.093571
1996,0.050700,0.002803,-0.047897
1997,0.050800,0.132661,0.081861
1998,0.050800,0.094842,0.044042
1999,0.050900,0.102899,0.051999
2000,0.050900,0.096891,0.045991
2001,0.054700,0.099217,0.044517
2002,0.062100,0.104548,0.042448
2003,0.069500,0.115139,0.045639
2004,0.077000,0.123806,0.046806
2005,0.080700,0.127813,0.047113
2006,0.088100,0.150100,0.062000
2007,0.088200,0.151641,0.063441
2008,0.088300,0.168715,0.080415
2009,0.095700,0.175502,0.079801
2010,0.103000,0.182942,0.079942
2011,0.107000,0.195795,0.088795
2012,0.118000,0.191555,0.073555
2013,0.118000,0.199714,0.081714
2014,0.118000,0.180539,0.062539
2015,0.135000,0.199084,0.064084
2016,0.139000,-0.104865,-0.243865
2017,0.140000,-0.151103,-0.291103
2018,0.145816,0.200601,0.054786
2019,0.151197,0.205649,0.054452
2020,0.156522,0.218820,0.062299
2021,0.161803,0.214674,0.052870
2022,0.182394,0.229473,0.047079
