"Year","IRL production EXIOBASE 3.8.2","IRL production WIOD2016","IRL production OECDv2","IRL production Eora 199.082 (2023)","IRL production FIGARO April 2022","IRL production GCB 2023v26","IRL production Eurostat NAMEA","IRL consumption EXIOBASE 3.8.2","IRL consumption WIOD2016","IRL consumption OECDv2","IRL consumption Eora 199.082 (2023)","IRL consumption FIGARO April 2022","IRL consumption GCB 2023v26"
1970,,,,20.300000,,,,,,,13.932430,,
1971,,,,23.600000,,,,,,,16.430020,,
1972,,,,23,,,,,,,16.322180,,
1973,,,,23.900000,,,,,,,17.025510,,
1974,,,,24.400000,,,,,,,17.352620,,
1975,,,,23.200000,,,,,,,17.523530,,
1976,,,,23.200000,,,,,,,18.247590,,
1977,,,,24.500000,,,,,,,21.178090,,
1978,,,,24.500000,,,,,,,22.241970,,
1979,,,,28.800000,,,,,,,27.046210,,
1980,,,,27.800000,,,,,,,26.027850,,
1981,,,,27.600000,,,,,,,25.206150,,
1982,,,,27.400000,,,,,,,24.228400,,
1983,,,,27.300000,,,,,,,22.879160,,
1984,,,,27.500000,,,,,,,21.957200,,
1985,,,,28.600000,,,,,,,25.821040,,
1986,,,,30.500000,,,,,,,20.982790,,
1987,,,,32,,,,,,,21.402340,,
1988,,,,31.700000,,,,,,,26.145420,,
1989,,,,31.800000,,,,,,,30.361030,,
1990,,,,33,,32.944420,,,,,31.106510,,39.546898
1991,,,,33.700000,,33.674307,,,,,31.878970,,41.273972
1992,,,,33.500000,,33.495315,,,,,30.937600,,42.993084
1993,,,,33.900000,,33.716364,,,,,25.514030,,40.545862
1994,,,,34.900000,,34.838447,,,,,30.438320,,41.165968
1995,34.536524,,33.039434,35.900000,,35.852987,,34.391321,,36.408060,36.357760,,42.172001
1996,35.948206,,34.348160,37.500000,,37.469270,,38.653281,,38.186668,38.202410,,50.012131
1997,37.103342,,35.443160,38.800000,,38.804985,,48.839558,,38.578046,39.367850,,49.127057
1998,39.674364,,38.008379,40.700000,,40.708971,,48.373030,,42.157685,41.040260,,49.063205
1999,41.576512,,39.460020,42.500000,,42.440183,,56.106014,,44.990966,42.572530,,55.299066
2000,44.003269,43.696185,41.153958,45.300000,,45.249110,,54.569102,49.818344,47.379456,44.047150,,54.400022
2001,46.843321,46.188414,43.392055,47.700000,,47.607620,,56.610086,52.946887,49.169201,47.011810,,56.661423
2002,46.905738,44.587641,42.570959,46.100000,,46.081586,,58.333999,53.846406,47.889511,47.556070,,58.000360
2003,47.988542,44.376438,41.793894,45.700000,,45.684109,,62.103080,57.379133,48.869826,51.234650,,72.107210
2004,49.850298,44.955703,42.330876,46.900000,,46.166785,,64.094683,59.206910,51.975357,54.450380,,66.651573
2005,53.081880,47.424667,43.975702,48.900000,,48.156202,,70.065678,63.683974,55.820791,56.590480,,72.612853
2006,54.663927,46.832581,45.027558,48.800000,,47.604446,,74.253416,67.558716,58.286560,59.794970,,72.098117
2007,54.413189,46.806954,44.420635,48.400000,,47.664088,,74.975927,68.132839,62.924198,62.157140,,72.622094
2008,56.189321,46.981004,44.077771,48.100000,,47.362826,48.185561,71.305548,64.648118,59.344239,61.263250,,65.244218
2009,52.160097,41.810641,39.385955,43,,42.179093,41.866789,64.160750,56.693651,49.408651,53.828690,,52.821905
2010,52.274492,48.997648,38.957757,43,49.454119,41.793224,49.453658,60.321251,56.001828,47.562530,51.980470,54.001627,50.052473
2011,48.396443,45.417273,35.007331,38.800000,46.627791,38.056367,46.586416,56.034179,53.749109,42.920611,47.877480,46.915728,47.867326
2012,49.234977,46.178376,,39,46.876554,38.227201,47.037160,56.184100,53.697645,,47.716610,44.885721,46.751167
2013,48.195687,43.932816,,38,46.511443,37.281868,46.500893,57.249029,51.312361,,47.264610,47.102460,46.504506
2014,48.232187,44.079028,,37.500000,46.318253,36.853211,46.418587,56.996526,53.473528,,45.738970,49.327278,47.144935
2015,50.308767,,,39.300000,48.354135,38.718546,48.637502,54.956357,,,46.348490,52.244210,46.393338
2016,52.669408,,,40.800000,52.736473,40.369677,52.949472,65.620802,,,57.916880,60.545222,48.991081
2017,51.177118,,,39.700000,54.408334,39.078277,54.352473,58.405762,,,55.764670,58.045689,49.801130
2018,50.789727,,,43.126070,55.666377,39.012558,55.483075,56.324832,,,53.110870,56.911723,50.570512
2019,49.595685,,,43.549390,54.171787,37.325752,54.225609,70.169954,,,51.515810,74.210997,50.040192
2020,52.971118,,,43.638130,42.007291,35.123775,40.839995,75.299275,,,53.962970,59.241196,43.820822
2021,52.855512,,,43.350430,,37.547285,43.518346,87.521533,,,52.586220,,46.510604
2022,55.719782,,,51.208960,,,,91.332898,,,52.871610,,
