"Year","GBR production EXIOBASE 3.8.2","GBR production WIOD2016","GBR production OECDv2","GBR production Eora 199.082 (2023)","GBR production FIGARO April 2022","GBR production GCB 2023v26","GBR production Defra 2023 (official)","GBR production Eurostat NAMEA","GBR consumption EXIOBASE 3.8.2","GBR consumption WIOD2016","GBR consumption OECDv2","GBR consumption Eora 199.082 (2023)","GBR consumption FIGARO April 2022","GBR consumption GCB 2023v26","GBR consumption Defra 2023 (official)"
1970,,,,716,,,,,,,,705.570100,,,
1971,,,,716,,,,,,,,701.494200,,,
1972,,,,701,,,,,,,,680.497300,,,
1973,,,,712,,,,,,,,690.790700,,,
1974,,,,664,,,,,,,,650.194100,,,
1975,,,,649,,,,,,,,638.374100,,,
1976,,,,643,,,,,,,,640.163500,,,
1977,,,,649,,,,,,,,655.540700,,,
1978,,,,646,,,,,,,,657.412500,,,
1979,,,,687,,,,,,,,716.963500,,,
1980,,,,614,,,,,,,,657.307100,,,
1981,,,,593,,,,,,,,618.339300,,,
1982,,,,579,,,,,,,,599.501100,,,
1983,,,,577,,,,,,,,587.095700,,,
1984,,,,561,,,,,,,,572.231700,,,
1985,,,,592,,,,,,,,635.623500,,,
1986,,,,600,,,,,,,,562.800300,,,
1987,,,,604,,,,,,,,573.430500,,,
1988,,,,605,,,,,,,,653.203900,,,
1989,,,,615,,,,,,,,694.629000,,,
1990,,,,613,,601.945078,639.279000,,,,,688.663700,,669.606149,
1991,,,,620,,609.412673,647.468300,,,,,692.114700,,676.764217,
1992,,,,604,,593.845922,632.990200,,,,,661.567600,,692.667622,
1993,,,,590,,579.612537,620.187000,,,,,588.999000,,657.332097,
1994,,,,586,,574.016890,615.841500,,,,,630.098100,,649.759593,
1995,557.435932,,518.530904,578,,566.158959,610.025000,603.899528,645.789718,,588.784225,671.851900,,644.332504,
1996,579.774566,,537.367373,599,,586.760676,636.093100,630.843652,650.376626,,617.058338,705.659500,,672.855815,608
1997,562.151014,,516.539994,573,,562.708106,620.196400,606.367130,667.993555,,614.628823,722.616700,,672.131228,616
1998,567.582820,,522.562777,577,,568.543698,632.028500,614.707672,683.005493,,648.287017,733.128300,,695.996600,653
1999,567.134093,,519.243307,570,,561.649574,623.362100,607.657656,689.025566,,656.074950,734.275700,,682.163315,644
2000,575.052029,616.151433,527.348257,576,,569.033716,633.908900,617.118937,709.511015,747.797048,665.342006,745.578600,,744.108104,649
2001,585.903655,628.781614,540.385782,584,,577.970573,647.374500,629.593505,722.606552,761.379908,675.883974,747.971500,,726.544576,646
2002,574.069248,613.833528,525.799663,567,,560.273200,626.646900,614.664429,715.835093,768.719768,669.465925,740.141800,,735.419828,672
2003,586.459796,627.584676,538.026209,578,,571.618782,639.258400,628.346453,746.413009,786.119941,687.694237,767.455400,,748.545936,680
2004,591.937980,633.973396,538.727435,580,,573.429762,643.987400,634.570075,768.805830,817.018922,706.897819,799.266900,,759.976714,720
2005,594.728962,633.973396,536.080254,577,,570.338370,643.739200,633.576147,769.253619,818.378976,717.317473,812.146900,,750.134455,716
2006,599.926907,623.063862,537.123657,575,,567.845659,633.169500,623.508691,779.569229,825.848103,718.484712,841.048400,,754.026052,722
2007,592.954028,615.083397,526.247522,568,,559.566476,628.261900,615.592571,781.776574,817.971852,726.489631,844.349900,,752.317877,743
2008,577.602060,600.148871,505.897765,553,,544.932405,613.320900,600.775149,735.414830,757.988431,672.569739,812.988600,,719.616571,694
2009,523.065434,545.275885,458.586622,502,,494.107701,559.813700,545.757229,632.664714,675.830990,583.758759,708.643100,,628.732427,614
2010,548.160207,563.003711,474.952463,520,579.846502,511.904582,579.846500,563.569491,679.135432,703.284446,610.986352,745.628800,733.619757,676.785638,628
2011,511.847490,524.184218,437.280587,477,542.907894,469.713315,542.908400,524.920212,648.531139,658.588226,570.290268,705.974700,702.391091,612.430304,602
2012,533.374001,537.302919,,496,558.037268,487.476776,558.037200,538.096946,653.671210,681.063862,,722.549200,712.218505,635.758630,624
2013,518.098494,524.550144,,485,548.976899,477.611268,548.976500,525.454320,634.655860,682.896824,,708.944400,721.211555,618.388904,619
2014,480.973510,488.331985,,446,519.108123,438.807081,519.109900,489.416099,630.511092,649.028075,,654.325800,706.983859,596.451067,601
2015,467.488401,,,430,509.969722,422.460794,509.969700,474.938062,626.192377,,,642.725600,690.713832,588.640524,597
2016,441.461317,,,407,490.826915,399.430131,490.826600,451.692114,577.942582,,,551.445300,648.206969,573.530964,541
2017,427.811052,,,395,474.552412,387.367141,474.551900,435.882776,542.402390,,,541.883700,621.908058,546.267359,523
2018,420.292399,,,401.259500,476.894262,379.729755,476.894300,432.122334,551.535603,,,550.582900,626.401755,533.604313,537
2019,410.663183,,,390.244800,464.316220,364.753306,464.316500,418.505901,536.831824,,,533.205400,627.892978,513.828024,517
2020,411.560035,,,382.743900,400.198722,326.263199,400.197900,,546.655855,,,557.910000,552.941297,460.805065,443
2021,409.308602,,,377.733400,,347.465051,427.910800,,564.383421,,,538.122800,,513.400081,
2022,383.055531,,,401.032100,,,,,520.055775,,,560.869400,,,
