"Year","LUX production EXIOBASE 3.8.2","LUX production WIOD2016","LUX production OECDv2","LUX production Eora 199.082 (2023)","LUX production FIGARO April 2022","LUX production GCB 2023v26","LUX production Eurostat NAMEA","LUX consumption EXIOBASE 3.8.2","LUX consumption WIOD2016","LUX consumption OECDv2","LUX consumption Eora 199.082 (2023)","LUX consumption FIGARO April 2022","LUX consumption GCB 2023v26","LUX net_trade EXIOBASE 3.8.2","LUX net_trade WIOD2016","LUX net_trade OECDv2","LUX net_trade Eora 199.082 (2023)","LUX net_trade FIGARO April 2022","LUX net_trade GCB 2023v26"
1970,,,,16.100000,,,,,,,14.945760,,,,,,-1.154240,,
1971,,,,15.500000,,,,,,,14.081930,,,,,,-1.418070,,
1972,,,,15.900000,,,,,,,14.033570,,,,,,-1.866430,,
1973,,,,16.600000,,,,,,,14.219900,,,,,,-2.380100,,
1974,,,,17.100000,,,,,,,13.830480,,,,,,-3.269520,,
1975,,,,13.900000,,,,,,,12.134870,,,,,,-1.765130,,
1976,,,,13.900000,,,,,,,12.461630,,,,,,-1.438370,,
1977,,,,12.900000,,,,,,,12.320770,,,,,,-0.579230,,
1978,,,,14,,,,,,,13.189980,,,,,,-0.810020,,
1979,,,,14.300000,,,,,,,13.348020,,,,,,-0.951980,,
1980,,,,13.100000,,,,,,,12.273870,,,,,,-0.826130,,
1981,,,,11.200000,,,,,,,10.771400,,,,,,-0.428600,,
1982,,,,10.500000,,,,,,,9.876088,,,,,,-0.623912,,
1983,,,,9.870000,,,,,,,8.956481,,,,,,-0.913519,,
1984,,,,10.700000,,,,,,,9.111775,,,,,,-1.588225,,
1985,,,,10.900000,,,,,,,10.450110,,,,,,-0.449890,,
1986,,,,10.800000,,,,,,,7.366908,,,,,,-3.433092,,
1987,,,,10.400000,,,,,,,7.233950,,,,,,-3.166050,,
1988,,,,10.800000,,,,,,,10.239070,,,,,,-0.560930,,
1989,,,,11.600000,,,,,,,12.405370,,,,,,0.805370,,
1990,,,,11.900000,,11.815503,,,,,12.672840,,11.815503,,,,0.772840,,0
1991,,,,12.500000,,12.434925,,,,,13.614480,,12.434925,,,,1.114480,,0
1992,,,,12.300000,,12.202474,,,,,12.684940,,12.202474,,,,0.384940,,0
1993,,,,12.400000,,12.351908,,,,,9.805067,,12.351908,,,,-2.594933,,0
1994,,,,11.600000,,11.542851,,,,,11.155530,,11.542851,,,,-0.444470,,0
1995,6.187000,,8.076271,9.210000,,9.155929,,4.822245,,5.878720,11.920540,,9.155929,-1.364755,,-2.197552,2.710540,,0
