"Year","LBR production Eora 199.082 (2023)","LBR consumption Eora 199.082 (2023)","LBR net_trade Eora 199.082 (2023)"
1970,1.460000,0.767958,-0.692042
1971,1.530000,0.731477,-0.798523
1972,1.510000,1.232251,-0.277749
1973,1.490000,1.153051,-0.336949
1974,1.730000,-1.777136,-3.507136
1975,1.490000,-0.493547,-1.983547
1976,1.490000,0.962071,-0.527929
1977,1.480000,1.074962,-0.405038
1978,1.510000,1.025099,-0.484901
1979,1.950000,1.524639,-0.425361
1980,2.050000,1.549854,-0.500146
1981,1.950000,1.533386,-0.416614
1982,0.609000,0.438461,-0.170539
1983,0.719000,0.169915,-0.549085
1984,0.708000,-0.043733,-0.751733
1985,0.729000,0.800734,0.071734
1986,0.736000,-1.397296,-2.133296
1987,0.771000,-1.809271,-2.580271
1988,0.822000,-0.119223,-0.941223
1989,0.672000,1.524963,0.852963
1990,0.481000,0.424730,-0.056270
1991,0.303000,0.632763,0.329763
1992,0.293000,-0.025246,-0.318246
1993,0.326000,-1.695355,-2.021355
1994,0.326000,-0.844041,-1.170041
1995,0.338000,0.166052,-0.171948
1996,0.349000,0.113196,-0.235804
1997,0.362000,0.271167,-0.090833
1998,0.389000,0.285159,-0.103841
1999,0.408000,0.306987,-0.101013
2000,0.432000,0.273204,-0.158796
2001,0.503000,0.358025,-0.144975
2002,0.501000,0.364471,-0.136529
2003,0.537000,0.320452,-0.216548
2004,0.623000,0.378121,-0.244879
2005,0.730000,0.431305,-0.298695
2006,0.751000,0.575145,-0.175855
2007,0.670000,0.533063,-0.136937
2008,0.573000,0.474074,-0.098926
2009,0.528000,0.498963,-0.029037
2010,0.803000,0.675182,-0.127818
2011,0.901000,0.730364,-0.170636
2012,1.030000,0.884182,-0.145818
2013,0.957000,0.897678,-0.059322
2014,0.915000,0.860097,-0.054903
2015,1.120000,1.034385,-0.085615
2016,1.160000,0.148459,-1.011541
2017,1.220000,-0.062175,-1.282175
2018,1.183690,1.332266,0.148576
2019,1.228747,1.506428,0.277681
2020,1.273086,1.535847,0.262761
2021,1.317764,1.565764,0.248000
2022,1.378540,1.588596,0.210056
