"Year","TTO production Eora 199.082 (2023)","TTO production GCB 2023v26","TTO consumption Eora 199.082 (2023)","TTO consumption GCB 2023v26"
1970,9.380000,,8.427507,
1971,8.500000,,7.276810,
1972,8.690000,,7.012740,
1973,9.740000,,7.598483,
1974,10.400000,,8.177829,
1975,9.890000,,8.394514,
1976,16.500000,,14.352550,
1977,16.800000,,16.008670,
1978,16.500000,,16.305840,
1979,17.900000,,18.391550,
1980,18.200000,,19.223260,
1981,18.200000,,19.214890,
1982,20.300000,,22.235100,
1983,18.900000,,19.590430,
1984,20.500000,,19.814250,
1985,23.700000,,23.514230,
1986,20.400000,,15.994490,
1987,20.600000,,15.463630,
1988,19.500000,,16.072540,
1989,20.200000,,16.987760,
1990,21,16.981163,16.601130,11.774935
1991,21.300000,16.968163,15.914800,12.441773
1992,23.400000,19.102764,15.197240,14.010788
1993,21.900000,17.411193,10.659300,12.873284
1994,22.200000,15.349368,11.469400,11.176934
1995,21.900000,14.732517,12.835660,10.160500
1996,26.100000,18.458328,13.889760,12.986260
1997,23.900000,18.911193,13.325960,13.846396
1998,26.300000,19.905197,12.609370,15.304324
1999,30.900000,22.594362,14.833280,13.827358
2000,32.300000,24.366293,13.208230,10.187785
2001,35.700000,26.756396,16.952100,12.208734
2002,38.600000,28.701795,17.630740,14.877838
2003,42.600000,32.391290,19.910080,16.803482
2004,45.700000,32.711341,21.009330,16.407677
2005,54.600000,38.226793,24.548850,15.085123
2006,59.700000,42.727046,25.263490,13.258133
2007,62.700000,45.582095,26.956080,19.262564
2008,61.400000,44.464625,27.660770,18.589415
2009,61.700000,44.442093,26.984800,24.812369
2010,66.200000,47.111837,24.639660,24.875049
2011,65,47.067342,23.309740,18.632153
2012,61,46.175888,24.373940,15.013502
2013,66.800000,45.823646,27.124620,14.947862
2014,67.300000,46.891726,28.607160,19.288130
2015,67.300000,45.559680,29.791190,23.103205
2016,66.900000,39.893102,38.672590,27.869628
2017,66.100000,40.317891,37.758980,24.789503
2018,66.664820,40.327882,36.945220,23.066408
2019,67.381220,40.782853,37.157180,26.385881
2020,68.664790,35.029662,38.371960,26.277933
2021,70.596850,35.524354,38.490450,21.155695
2022,67.023680,,36.532900,
