"Year","ANT production Eora 199.082 (2023)","ANT consumption Eora 199.082 (2023)"
1970,14.100000,11.430410
1971,12.300000,9.829520
1972,11.900000,9.380880
1973,13.200000,9.825117
1974,12,8.580817
1975,8.670000,6.242410
1976,18.500000,13.636110
1977,9.670000,7.658594
1978,8.240000,6.769025
1979,8.640000,7.331341
1980,8.890000,7.429579
1981,8.470000,7.291802
1982,9.470000,8.249246
1983,4.890000,4.623822
1984,12.100000,10.114040
1985,14.200000,12.872250
1986,3.090000,0.699910
1987,2.750000,0.031985
1988,2.710000,2.547160
1989,5.120000,5.943267
1990,5.480000,5.909855
1991,4.410000,4.782153
1992,3.640000,3.391197
1993,5.600000,1.765389
1994,5.370000,3.106767
1995,5.310000,4.943153
1996,4.970000,4.439478
1997,5.200000,4.566090
1998,0.371000,0.960626
1999,2.210000,2.282941
2000,5.710000,4.673643
2001,5.810000,4.718971
2002,5.600000,4.594208
2003,5.610000,4.659135
2004,5.880000,4.818636
2005,5.830000,4.734500
2006,6.080000,4.726602
2007,6.830000,5.023094
2008,6.570000,4.876926
2009,6.720000,4.984463
2010,4.660000,3.747366
2011,5.920000,4.236028
2012,7.110000,4.989379
2013,6.360000,4.433248
2014,7.040000,4.791163
2015,7.190000,4.887240
2016,7.400000,7.614106
2017,7.360000,8.421037
2018,7.360000,8.216019
2019,7.360000,7.910386
2020,7.360000,7.837219
2021,7.360000,7.824848
2022,7.360000,7.729087
