"Year","CZE production EXIOBASE 3.8.2","CZE production WIOD2016","CZE production OECDv2","CZE production Eora 199.082 (2023)","CZE production FIGARO April 2022","CZE production GCB 2023v26","CZE production Eurostat NAMEA","CZE consumption EXIOBASE 3.8.2","CZE consumption WIOD2016","CZE consumption OECDv2","CZE consumption Eora 199.082 (2023)","CZE consumption FIGARO April 2022","CZE consumption GCB 2023v26"
1970,,,,153,,,,,,,151.578800,,
1971,,,,160,,,,,,,157.746000,,
1972,,,,162,,,,,,,158.655300,,
1973,,,,162,,,,,,,158.193500,,
1974,,,,162,,,,,,,158.321500,,
1975,,,,169,,,,,,,166.574500,,
1976,,,,175,,,,,,,173.733800,,
1977,,,,179,,,,,,,180.167900,,
1978,,,,181,,,,,,,182.536700,,
1979,,,,176,,,,,,,179.294100,,
1980,,,,178,,,,,,,182.138200,,
1981,,,,177,,,,,,,181.544200,,
1982,,,,174,,,,,,,178.441600,,
1983,,,,175,,,,,,,178.675700,,
1984,,,,179,,,,,,,181.906300,,
1985,,,,175,,,,,,,182.636400,,
1986,,,,176,,,,,,,165.552000,,
1987,,,,174,,,,,,,161.856700,,
1988,,,,171,,,,,,,172.152800,,
1989,,,,162,,,,,,,161.353000,,
1990,,,,165,,164.250436,,,,,103.914200,,151.354636
1991,,,,150,,148.883273,,,,,87.866090,,130.584996
1992,,,,145,,145.705799,,,,,90.868940,,148.253722
1993,,,,139,,140.124037,,,,,86.046810,,132.395890
1994,,,,133,,132.668036,,,,,86.104540,,125.448342
1995,127.765747,,124.916619,132,,131.622223,,108.606497,,117.169838,97.671800,,123.607571
1996,129.333059,,126.824643,136,,135.018672,,143.609239,,119.685430,103.091900,,122.420961
1997,127.377319,,124.514913,131,,130.941621,,115.766188,,110.144059,95.884340,,118.740032
1998,121.506544,,117.529406,126,,125.608818,,112.070509,,108.213067,96.480380,,114.380829
1999,114.523810,,111.555655,117,,116.671891,,103.689721,,100.881536,91.042850,,110.333273
2000,124.862726,133.814550,122.385555,128,,127.235987,,114.364088,107.639443,130.421360,95.571110,,120.496412
2001,124.485418,134.035052,122.173609,128,,127.144369,,114.923748,109.111618,119.451261,96.041210,,122.012060
2002,120.409997,129.802540,118.360007,125,,123.969963,,123.454923,113.411784,122.565580,98.847060,,124.902956
2003,124.834647,133.406308,121.906035,128,,127.571697,,123.586578,113.336132,118.195999,101.354900,,120.909889
2004,125.945505,135.673314,123.002599,129,,128.291628,,120.462857,111.328629,116.294947,100.852000,,115.458289
2005,122.643269,131.497698,120.102144,126,,125.690737,,104.861173,108.101041,110.387320,99.745630,,110.331701
2006,123.415538,131.769428,120.534555,127,,126.555141,,125.125032,112.720912,110.979350,99.590870,,115.354214
2007,126.533004,135.171050,122.340958,129,,128.382088,,127.828996,114.855083,109.940372,100.831700,,121.791098
2008,121.147610,112.571455,117.445690,124,,122.951001,114.113834,127.253901,106.461203,111.836845,101.991400,,124.183736
2009,113.774781,104.331906,110.203000,116,,114.999012,105.973110,112.835481,97.525141,103.685522,98.074260,,114.133257
2010,116.606564,107.227276,114.252312,118,109.301550,117.490709,109.180602,118.049346,100.558886,111.053931,98.017450,104.474369,120.659128
2011,113.790301,103.166208,112.757156,116,105.511676,115.201992,105.539036,115.180504,99.520574,102.594990,94.951410,103.087036,115.790299
2012,109.965423,101.478630,,111,101.467968,111.298443,101.495489,108.290899,92.806882,,92.860380,94.982484,110.803549
2013,105.574386,95.938581,,107,97.538775,106.732696,97.585232,103.743642,87.526546,,87.890040,94.201055,108.918485
2014,102.616623,95.800131,,105,95.570299,104.256198,95.576254,97.356009,85.800633,,85.220020,90.787928,102.709793
2015,104.335490,,,105,95.054600,105.022272,95.108847,101.207227,,,86.906270,91.821539,104.476828
2016,106.171311,,,107,97.681160,106.680871,97.571797,94.791347,,,50.757390,91.737738,105.658413
2017,106.362775,,,106,96.256533,107.776571,96.279340,98.496038,,,46.679320,92.878513,110.724858
2018,106.037837,,,105.538000,97.110823,106.358386,97.073693,103.870933,,,89.302840,96.451024,113.156832
2019,102.917214,,,104.295800,91.364902,101.032686,91.216037,102.977568,,,58.942560,93.512872,108.745290
2020,104.089636,,,103.755300,87.964159,91.697363,82.341774,106.993163,,,62.858730,84.546086,99.642379
2021,105.414792,,,103.287200,,96.665225,88.553905,101.894938,,,61.803110,,109.131138
2022,113.773968,,,104.407500,,,,107.587121,,,64.493990,,
