"Year","MDV production Eora 199.082 (2023)","MDV consumption Eora 199.082 (2023)","MDV net_trade Eora 199.082 (2023)"
1970,0.004170,-0.243595,-0.247765
1971,0.004200,-0.448502,-0.452702
1972,0.004230,-0.743922,-0.748152
1973,0.004250,-0.886923,-0.891173
1974,0.004260,-0.876223,-0.880483
1975,0.007950,-0.520684,-0.528634
1976,0.011600,-0.351320,-0.362920
1977,0.015300,0.022711,0.007411
1978,0.022700,-0.013712,-0.036412
1979,0.030000,0.142564,0.112564
1980,0.044700,0.149614,0.104914
1981,0.048400,0.143755,0.095354
1982,0.048400,0.020932,-0.027468
1983,0.052100,-0.261103,-0.313203
1984,0.059500,-0.412021,-0.471521
1985,0.066800,0.246351,0.179551
1986,0.081500,-1.542452,-1.623952
1987,0.081500,-1.610487,-1.691987
1988,0.096200,-0.411601,-0.507801
1989,0.126000,0.314119,0.188119
1990,0.173000,0.303349,0.130349
1991,0.155000,0.307782,0.152782
1992,0.232000,-0.137195,-0.369196
1993,0.199000,-2.493199,-2.692199
1994,0.199000,-1.269832,-1.468832
1995,0.250000,0.384895,0.134895
1996,0.291000,0.276587,-0.014413
1997,0.331000,0.482077,0.151077
1998,0.302000,0.427908,0.125908
1999,0.423000,0.521967,0.098967
2000,0.452000,0.503209,0.051209
2001,0.463000,0.535524,0.072524
2002,0.595000,0.598569,0.003569
2003,0.507000,0.579921,0.072921
2004,0.669000,0.796362,0.127362
2005,0.603000,0.826106,0.223106
2006,0.761000,1.219102,0.458102
2007,0.783000,1.269538,0.486538
2008,0.845000,1.425133,0.580133
2009,0.885000,1.480415,0.595415
2010,0.937000,1.544643,0.607643
2011,0.988000,1.578065,0.590065
2012,1.110000,1.626265,0.516265
2013,1.090000,1.701135,0.611135
2014,1.340000,1.890657,0.550657
2015,1.260000,1.823252,0.563252
2016,1.310000,1.075117,-0.234883
2017,1.370000,1.078559,-0.291441
2018,1.482304,1.936286,0.453982
2019,1.555189,2.040155,0.484966
2020,1.628017,2.151024,0.523007
2021,1.700418,2.114530,0.414112
2022,1.747067,2.235884,0.488817
